2theta	Theorical peaks	2theta	I	2theta	I
deg	Intensity	deg	(a.u.)	deg	(a.u.)
2H-WSe2	2H-WSe2	x=15,d=21%	x=15,d=21%	x=0,d=4%	x=0,d=4%
		10.66	0.00272479564032698	11.88105	0.0125758465453122
		10.68	0.00393581592491674	11.90735	0.0125758465453122
		10.7	0.00333030578262186	11.93365	0.0124290467801919
		10.72	0.00302755071147442	11.95995	0.0122088471325113
		10.74	0.00333030578262186	11.98625	0.0122088471325113
		10.76	0.00393581592491674	12.01255	0.0108876492464279
		10.78	0.00151377535573721	12.03885	0.01171951458211
		10.8	0.00423857099606418	12.06515	0.0123556468976317
		10.82	0.00575234635180139	12.09145	0.0115482481894696
		10.84	0.00211928549803209	12.11775	0.0120375807398708
		10.86	0.00333030578262186	12.14405	0.0130162458406733
		10.88	0.0036330608537693	12.17035	0.0140193775689959
		10.9	0.00333030578262186	12.19665	0.0115971814445097
		10.92	0.00151377535573721	12.22295	0.0133343119984341
		10.94	0.00333030578262186	12.24925	0.014043844196516
		10.96	0.00423857099606418	12.27555	0.0114748483069094
		10.98	0.00393581592491674	12.30185	0.0134077118809943
		11	0.00393581592491674	12.32815	0.0130407124681934
		11.02	0.00211928549803209	12.35445	0.0143619103542768
		11.04	0.00514683620950651	12.38075	0.0121843805049912
		11.06	0.00151377535573721	12.40705	0.0134321785085144
		11.08	0.00333030578262186	12.43335	0.0129183793305931
		11.1	0.00454132606721163	12.45965	0.0119152476022705
		11.12	0.00393581592491674	12.48595	0.0121843805049912
		11.14	0.00211928549803209	12.51225	0.0128205128205128
		11.16	0.00302755071147442	12.53855	0.0126492464278724
		11.18	0.00302755071147442	12.56485	0.0116950479545899
		11.2	0.00272479564032698	12.59115	0.0109855157565081
		11.22	0.00242204056917953	12.61745	0.0100802505382658
		11.24	0.00454132606721163	12.64375	0.0112057154041887
		11.26	0.00484408113835907	12.67005	0.0115971814445097
		11.28	0.00211928549803209	12.69635	0.0130407124681934
		11.3	0.00333030578262186	12.72265	0.0114748483069094
		11.32	0.00544959128065395	12.74895	0.012135447249951
		11.34	0.00393581592491674	12.77525	0.0109855157565081
		11.36	0.00151377535573721	12.80155	0.0109610491289881
		11.38	0.0036330608537693	12.82785	0.0114014484243492
		11.4	0.00333030578262186	12.85415	0.0121599138774711
		11.42	0.0036330608537693	12.88045	0.0116461146995498
		11.44	0.00272479564032698	12.90675	0.0126247798003523
		11.46	0.00151377535573721	12.93305	0.0114993149344294
		11.48	0.00393581592491674	12.95935	0.0138970444313956
		11.5	0.00484408113835907	12.98565	0.0143619103542768
		11.52	0.00272479564032698	13.01195	0.0146065766294774
		11.54	0.00544959128065395	13.03825	0.0157320414954003
		11.56	0.00272479564032698	13.06455	0.0198424349187708
		11.58	0.00393581592491674	13.09085	0.0212859659424545
		11.6	0.0036330608537693	13.11715	0.0247846936778234
		11.62	0.00211928549803209	13.14345	0.0292865531415149
		11.64	0.00484408113835907	13.16975	0.033201213544725
		11.66	0.0036330608537693	13.19605	0.0416422000391466
		11.68	0.00272479564032698	13.22235	0.051575650812292
		11.7	0.00333030578262186	13.24865	0.0663779604619299
		11.72	0.00423857099606418	13.27495	0.0877862595419847
		11.74	0.00272479564032698	13.30125	0.116705813270699
		11.76	0.0036330608537693	13.32755	0.150763358778626
		11.78	0.00484408113835907	13.35385	0.190546095126247
		11.8	0.00333030578262186	13.38015	0.246330005871991
		11.82	0.00272479564032698	13.40645	0.321834018398904
		11.84	0.00454132606721163	13.43275	0.400518692503425
		11.86	0.00211928549803209	13.45905	0.491265413975337
		11.88	0.00544959128065395	13.48535	0.61335388530045
		11.9	0.00454132606721163	13.51165	0.705299471520846
		11.92	0.00454132606721163	13.53795	0.805857310628303
		11.94	0.00242204056917953	13.56425	0.871427872382071
		11.96	0.0036330608537693	13.59055	0.931444509688784
		11.98	0.00393581592491674	13.61685	0.973698375415933
		12	0.00635785649409628	13.64315	1
		12.02	0.00333030578262186	13.66945	0.982751027598355
		12.04	0.00181653042688465	13.69575	0.955299471520845
		12.06	0.00272479564032698	13.72205	0.891881972988843
		12.08	0.00544959128065395	13.74835	0.801869250342533
		12.1	0.00484408113835907	13.77465	0.703904873752202
		12.12	0.00514683620950651	13.80095	0.62106087296927
		12.14	0.00333030578262186	13.82725	0.538461538461538
		12.16	0.0036330608537693	13.85355	0.454492072812684
		12.18	0.00575234635180139	13.87985	0.371745938539831
		12.2	0.0072661217075386	13.90615	0.292155999217068
		12.22	0.00544959128065395	13.93245	0.224089841456254
		12.24	0.00211928549803209	13.95875	0.169284595811313
