Raman schift	Intensity	Normalized Y1	Intensity
cm-1	Counts		a.u.
x=1%, d =1%	x=1%, d =1%	x=1%, d =1%	x=1%, d =1%
70.4567	247	0.0607745439770759	1.06077454397708
72.5661	247.105	0.0618972264397065	1.06189722643971
74.675	246.737	0.0579624917135341	1.05796249171353
76.7791	249.211	0.0844150289758999	1.0844150289759
78.8871	248.368	0.0754014926330645	1.07540149263306
80.9924	248.158	0.073156127707803	1.0731561277078
83.0973	249.211	0.0844150289758999	1.0844150289759
85.1996	252.895	0.123805145093343	1.12380514509334
87.3035	254	0.13562004148579	1.13562004148579
89.4048	253.895	0.134497359023159	1.13449735902316
91.5056	254.895	0.145189572952976	1.14518957295298
93.6039	256.579	0.163195261210786	1.16319526121079
95.7059	257.895	0.177266214742424	1.17726621474242
97.8032	257.368	0.171631418001411	1.17163141800141
99.9001	258.632	0.185146376408699	1.1851463764087
101.996	256.737	0.164884631011698	1.1648846310117
104.092	259.526	0.194705215661955	1.19470521566195
106.186	256.053	0.157571156683703	1.1575711566837
108.281	259.526	0.194705215661955	1.19470521566195
110.373	260.632	0.206530804268332	1.20653080426833
112.465	266.316	0.267305348245407	1.26730534824541
114.556	267.053	0.275185509911682	1.27518550991168
116.645	267.263	0.277430874836944	1.27743087483694
118.735	266.579	0.27011740050895	1.27011740050895
120.823	267.579	0.280809614438766	1.28080961443877
122.911	264.842	0.251545024912858	1.25154502491286
124.996	264.263	0.245354233047495	1.24535423304749
127.082	263.789	0.240286123644762	1.24028612364476
129.168	263.421	0.236351388918589	1.23635138891859
131.252	264.053	0.243108868122233	1.24310886812223
133.335	263.158	0.233539336655048	1.23353933665505
135.417	266.789	0.272362765434211	1.27236276543421
137.497	281.105	0.425432500053461	1.42543250005346
139.579	274.895	0.359033851549302	1.3590338515493
141.657	267.842	0.283621666702307	1.28362166670231
143.736	267.105	0.275741505036033	1.27574150503603
145.812	261.632	0.217223018198148	1.21722301819815
147.892	261.632	0.217223018198148	1.21722301819815
149.967	260.158	0.201462694865599	1.2014626948656
152.041	258	0.178388897205055	1.17838889720506
154.115	259.105	0.190203793597503	1.1902037935975
156.189	254.947	0.145745568077326	1.14574556807733
158.258	253.842	0.133930671684879	1.13393067168488
160.331	254.632	0.142377520689434	1.14237752068943
162.401	253.684	0.132241301883968	1.13224130188397
164.47	258.053	0.178955584543336	1.17895558454334
166.537	255.474	0.151380364818339	1.15138036481834
168.606	253.053	0.125494514894254	1.12549451489425
170.675	253.526	0.130551932083057	1.13055193208306
172.74	253.105	0.126050510018604	1.1260505100186
174.805	253.842	0.133930671684879	1.13393067168488
176.868	258.842	0.18739174133396	1.18739174133396
178.93	251.579	0.109734191561705	1.1097341915617
180.994	250.316	0.0962299253683468	1.09622992536835
183.056	251.947	0.113668926287877	1.11366892628788
185.116	250.474	0.0979192951692576	1.09791929516926
187.175	252.947	0.124361140217694	1.12436114021769
189.233	253.053	0.125494514894254	1.12549451489425
191.294	251	0.103543399696341	1.10354339969634
193.347	254.211	0.137876098624981	1.13787609862498
195.403	251.105	0.104666082158972	1.10466608215897
197.459	253.632	0.131685306759618	1.13168530675962
199.515	252.474	0.11930372302889	1.11930372302889
201.568	253.579	0.131118619421337	1.13111861942134
203.621	255.421	0.150813677480059	1.15081367748006
205.671	254.842	0.144622885614696	1.1446228856147
207.724	256.158	0.158693839146334	1.15869383914633
209.773	259.158	0.190770480935783	1.19077048093578
211.822	260.895	0.209342856531873	1.20934285653187
213.87	258.474	0.183457006607788	1.18345700660779
215.918	260.632	0.206530804268332	1.20653080426833
217.963	261.842	0.219468383123409	1.21946838312341
220.01	263	0.231849966854137	1.23184996685414
222.054	265.895	0.262803926180955	1.26280392618095
224.096	265.526	0.258858499240853	1.25885849924085
226.139	266.053	0.264493295981866	1.26449329598187
228.182	269.421	0.300504672497487	1.30050467249749
230.223	270.737	0.314575626029126	1.31457562602913
232.262	273.842	0.347774950281205	1.34777495028121
234.302	271.947	0.327513204884203	1.3275132048842
236.339	271.947	0.327513204884203	1.3275132048842
238.377	274.737	0.357344481748391	1.35734448174839
240.411	275.105	0.361279216474563	1.36127921647456
242.449	279.947	0.413050916322734	1.41305091632273
244.484	292	0.54192417081881	1.54192417081881
246.517	325.947	0.904892757094284	1.90489275709428
248.549	333.368	0.984239676667451	1.98423967666745
250.581	306.421	0.696116587900691	1.69611658790069
252.612	296.526	0.590317131065159	1.59031713106516
254.643	317.316	0.812608258666039	1.81260825866604
256.673	334.842	1	2
258.701	324.947	0.894200543164468	1.89420054316447
260.728	308.158	0.714688963496782	1.71468896349678
262.753	285.263	0.469890725573637	1.46989072557364
264.782	265.105	0.2543570771764	1.2543570771764
266.806	259.947	0.199206637726408	1.19920663772641
268.829	256.263	0.159816521608964	1.15981652160896
270.852	255.684	0.153625729743601	1.1536257297436
272.875	257.105	0.16881936573787	1.16881936573787
274.893	252.474	0.11930372302889	1.11930372302889
276.915	258.053	0.178955584543336	1.17895558454334
278.936	254.211	0.137876098624981	1.13787609862498
280.953	252.368	0.11817034835233	1.11817034835233
282.971	254.105	0.136742723948421	1.13674272394842
284.987	252.842	0.123238457755063	1.12323845775506
287.002	254.053	0.13618672882407	1.13618672882407
289.017	251.105	0.104666082158972	1.10466608215897
291.032	251.105	0.104666082158972	1.10466608215897
293.044	250.684	0.100164660094519	1.10016466009452
295.057	251.579	0.109734191561705	1.1097341915617
297.068	251.842	0.112546243825247	1.11254624382525
299.079	252.737	0.122115775292432	1.12211577529243
301.087	251.211	0.105799456835532	1.10579945683553
