H	M	M_over_mass	M_over_mass_smoothed
Oe	emu	emu/g	emu/g
 x=0%, d =12% - short after synthesis	 x=0%, d =12% - short after synthesis	 x=0%, d =12% - short after synthesis	 x=0%, d =12% - short after synthesis
-911.47606	-5.6816011E-6	-3.97839762578051E-4	-3.65953632655342E-4
-962.11715	-5.5157757E-6	-3.83293674858753E-4	-3.52578929674113E-4
-1012.751	-5.1340707E-6	-3.49810780121911E-4	-3.75355291817817E-4
-1063.383	-5.9486785E-6	-4.21267604683314E-4	-4.1404744723842E-4
-1114.0139	-5.5472307E-6	-3.86052885385069E-4	-4.28046168479168E-4
-1164.6486	-6.1349756E-6	-4.37609455560507E-4	-4.52752333469148E-4
-1215.2798	-7.1325588E-6	-5.25116753806121E-4	-5.0302978991621E-4
-1265.9246	-7.7504871E-6	-5.79320990648226E-4	-5.34378501689817E-4
-1316.5562	-7.0209569E-6	-5.15327113455244E-4	-5.56090135211266E-4
-1367.1922	-7.793025E-6	-5.83052385385069E-4	-5.83657036184561E-4
-1417.8277	-8.3460573E-6	-6.31563990648227E-4	-5.65831318133607E-4
-1468.4607	-6.7755696E-6	-4.93801911700858E-4	-5.40724303207013E-4
-1519.0985	-7.6542734E-6	-5.70881192402612E-4	-5.37436430573798E-4
-1569.7334	-7.2201013E-6	-5.32795920472788E-4	-5.45855975517159E-4
-1620.3667	-5.8793751E-6	-4.15188359069279E-4	-5.24240333060201E-4
-1671.0043	-7.6422149E-6	-5.69823429244718E-4	-5.26077061477982E-4
-1721.6358	-8.2260553E-6	-6.21037499420156E-4	-5.20635929633218E-4
-1772.2719	-7.1016477E-6	-5.22405253806121E-4	-5.15974522464364E-4
-1822.9056	-6.2060616E-6	-4.43845069595595E-4	-5.28926804004461E-4
-1873.5419	-7.5799404E-6	-5.64360753806121E-4	-5.41965612596454E-4
-1924.1773	-6.3123895E-6	-4.53172078367525E-4	-5.37217124108334E-4
-1974.8207	-8.3201667E-6	-6.29292885385069E-4	-5.43977364528732E-4
-1976.8172	-7.785074E-6	-5.82354929244718E-4	-5.67272212297922E-4
-1926.5874	-7.6568223E-6	-5.71104780121911E-4	-5.78636540028671E-4
-1876.2813	-7.736793E-6	-5.78119753806121E-4	-5.63878714526687E-4
-1826.2693	-7.2686889E-6	-5.37057990648227E-4	-5.64186266115449E-4
-1776.2609	-7.5164336E-6	-5.58789981876297E-4	-5.48478792308554E-4
-1726.2583	-7.2078298E-6	-5.31719473104367E-4	-5.45919476437291E-4
-1676.2499	-7.151483E-6	-5.26776771349981E-4	-5.47891218616165E-4
-1626.2425	-7.783706E-6	-5.82234929244718E-4	-5.54662151017097E-4
-1576.2338	-7.7167111E-6	-5.76358183630683E-4	-5.61068398900793E-4
-1526.2328	-7.1536779E-6	-5.269693064377E-4	-5.63922832917069E-4
-1476.2244	-7.8777109E-6	-5.90480973104367E-4	-5.65825134209344E-4
-1426.2216	-7.6410702E-6	-5.69723016964016E-4	-5.60734926627452E-4
-1376.2316	-7.2573713E-6	-5.36065218718402E-4	-5.49877704568809E-4
-1326.2244	-7.4303366E-6	-5.51237613455244E-4	-5.42354754071937E-4
-1276.2204	-7.1224189E-6	-5.24227288893841E-4	-5.37833675615306E-4
-1226.22	-7.1258829E-6	-5.24531148542963E-4	-5.19239198230118E-4
-1176.2131	-7.035884E-6	-5.16636508192086E-4	-5.13287711111973E-4
