H	M	M over mass
Oe	emu	emu/g
x=1.4%, d =9%	x=1.4%, d =9%	x=1.4%, d =9%
0.26846892	1.1644475E-5	0.00105858863636364
0.76654816	1.1862839E-5	0.00107843990909091
1.2571485	1.1917488E-5	0.001083408
1.7543739	1.4827404E-5	0.00134794581818182
2.2493016	1.4847022E-5	0.00134972927272727
2.7414372	1.4913855E-5	0.001355805
3.2434022	1.4206821E-5	0.00129152918181818
3.7340128	1.2104435E-5	0.00110040318181818
4.2236188	1.0842968E-5	9.85724363636364E-4
4.7291283	1.1808615E-5	0.00107351045454545
5.2210937	1.4155476E-5	0.00128686145454545
5.7151354	1.1018129E-5	0.00100164809090909
6.2072039	1.6890527E-5	0.00153550245454546
6.7016989	1.5995339E-5	0.00145412172727273
7.1997951	1.5710805E-5	0.001428255
7.695336	1.159802E-5	0.00105436545454545
8.1850088	1.3426334E-5	0.00122057581818182
8.6845988	1.6663514E-5	0.00151486490909091
9.1775278	1.666407E-5	0.00151491545454546
9.6764792	1.6866936E-5	0.00153335781818182
10.173143	1.3738696E-5	0.00124897236363636
10.664851	1.4431531E-5	0.00131195736363636
11.159583	1.5163619E-5	0.00137851081818182
11.655526	1.664804E-5	0.00151345818181818
12.142345	1.1825313E-5	0.00107502845454545
12.643261	1.4187723E-5	0.001289793
13.137334	1.6701638E-5	0.00151833072727273
13.632344	1.1446669E-5	0.00104060627272727
14.134041	1.0748391E-5	9.77126454545455E-4
14.626568	1.2689649E-5	0.00115360445454545
15.120312	1.4945788E-5	0.001358708
15.608805	1.6517938E-5	0.00150163072727273
16.107015	1.7307965E-5	0.00157345136363636
16.607279	1.1989718E-5	0.00108997436363636
17.095973	1.4267165E-5	0.001297015
17.594203	1.3222114E-5	0.00120201036363636
18.087426	1.4045397E-5	0.00127685427272727
18.57985	1.4790657E-5	0.00134460518181818
19.076797	1.842817E-5	0.00167528818181818
19.57565	1.6024354E-5	0.00145675945454545
20.069651	1.6195623E-5	0.00147232936363636
20.562472	1.7797061E-5	0.00161791463636364
21.054571	1.6087879E-5	0.00146253445454545
21.55224	1.1987742E-5	0.00108979472727273
22.04673	1.2994255E-5	0.00118129590909091
22.544053	1.6465968E-5	0.00149690618181818
23.03572	1.3415986E-5	0.00121963509090909
23.528417	1.7840511E-5	0.00162186463636364
24.030217	1.5579528E-5	0.00141632072727273
24.527607	1.6936087E-5	0.00153964427272727
25.019045	1.7724547E-5	0.00161132245454545
25.513418	1.766554E-5	0.00160595818181818
26.00891	1.5106825E-5	0.00137334772727273
26.504586	1.8399518E-5	0.00167268345454545
27.001056	1.6312663E-5	0.00148296936363636
27.496429	1.887244E-5	0.00171567636363636
27.993438	1.5089621E-5	0.00137178372727273
28.485116	1.6525141E-5	0.00150228554545455
28.980566	1.8643612E-5	0.00169487381818182
29.47528	1.5937405E-5	0.001448855
29.969614	1.2004268E-5	0.00109129709090909
30.466984	1.6677881E-5	0.001516171
30.962079	1.6599482E-5	0.00150904381818182
31.453304	1.382565E-5	0.00125687727272727
31.945615	1.6208257E-5	0.00147347790909091
32.445675	1.6025841E-5	0.00145689463636364
32.938356	1.4704281E-5	0.00133675281818182
33.426901	1.6690803E-5	0.00151734572727273
33.922593	1.8351441E-5	0.00166831281818182
34.415089	1.4378371E-5	0.00130712463636364
34.911357	1.5265598E-5	0.00138778163636364
35.405367	1.2564094E-5	0.00114219036363636
35.904481	1.8112059E-5	0.00164655081818182
36.396453	1.5519915E-5	0.00141090136363636
36.890261	1.6761608E-5	0.00152378254545455
37.388681	1.9399277E-5	0.00176357063636364
37.880807	1.264407E-5	0.00114946090909091
38.368064	1.3659657E-5	0.001241787
38.873595	1.936729E-5	0.00176066272727273
39.364553	1.6100241E-5	0.00146365827272727
39.855912	1.8393309E-5	0.001672119
40.352643	1.8736386E-5	0.00170330781818182
40.844785	1.6976671E-5	0.00154333372727273
41.340847	2.1637571E-5	0.00196705190909091
41.831691	1.5846869E-5	0.00144062445454545
42.328387	1.9839505E-5	0.00180359136363636
42.825381	1.978716E-5	0.00179883272727273
43.314486	1.8918455E-5	0.00171985954545455
43.813136	1.8922921E-5	0.00172026554545455
44.312528	1.7563264E-5	0.00159666036363636
44.79976	2.0525422E-5	0.00186594745454545
45.297898	1.8118731E-5	0.00164715736363636
45.799311	1.654853E-5	0.00150441181818182
