H	M	M over mass
Oe	emu	emu/g
x=7.6%, d =38%	x=7.6%, d =38%	x=7.6%, d =38%
0.86594612	6.722898E-5	0.00960414
2.8253894	6.7097812E-5	0.00958540171428571
4.7848456	6.9057299E-5	0.00986532842857143
6.7523416	6.8004077E-5	0.00971486814285714
8.7064376	6.7047983E-5	0.00957828328571429
10.667234	6.7309514E-5	0.00961564485714286
12.643596	6.2907126E-5	0.00898673228571428
14.590272	6.7914514E-5	0.00970207342857143
16.558902	6.4832336E-5	0.00926176228571429
18.507845	6.6945079E-5	0.00956358271428571
20.457406	6.5348852E-5	0.00933555028571429
22.417481	6.4828076E-5	0.00926115371428572
24.400033	6.7353625E-5	0.00962194642857143
26.35744	6.2365165E-5	0.00890930928571428
28.317496	6.1590427E-5	0.00879863242857143
30.279611	6.2206706E-5	0.00888667228571429
32.23596	6.7544374E-5	0.00964919628571429
34.204613	6.9916618E-5	0.00998808828571428
36.164772	6.4522111E-5	0.00921744442857143
38.12349	6.5635503E-5	0.00937650042857143
40.086737	6.7400275E-5	0.00962861071428571
42.032995	6.5018895E-5	0.00928841357142857
44.005819	6.3107487E-5	0.00901535528571428
45.968243	6.2915266E-5	0.00898789514285714
47.932006	6.4995695E-5	0.00928509928571429
49.885163	6.1700002E-5	0.008814286
51.848722	6.3449225E-5	0.009064175
53.806932	6.335009E-5	0.00905001285714286
55.768172	6.3559087E-5	0.00907986957142857
57.745423	6.1703824E-5	0.008814832
59.637317	6.947537E-5	0.00992505285714286
61.645406	5.9421436E-5	0.00848877657142857
63.615964	6.8673439E-5	0.00981049128571429
65.573445	6.1841779E-5	0.00883453985714286
67.548791	6.1333828E-5	0.00876197542857143
69.509516	6.352241E-5	0.00907463
71.473999	6.3286249E-5	0.00904089271428571
73.442343	6.1291974E-5	0.00875599628571429
75.410739	6.3115093E-5	0.00901644185714286
77.353291	5.7402904E-5	0.00820041485714286
79.311338	6.5098691E-5	0.009299813
81.286335	6.3583785E-5	0.00908339785714286
83.242582	5.9787929E-5	0.00854113271428571
85.192396	6.3372467E-5	0.00905320957142857
87.158631	6.4071331E-5	0.00915304728571428
89.115345	5.9335284E-5	0.00847646914285714
91.077412	6.184208E-5	0.00883458285714286
93.057496	6.1674764E-5	0.00881068057142857
95.068004	6.044079E-5	0.00863439857142857
96.967727	6.1445268E-5	0.00877789542857143
98.920734	6.3280238E-5	0.009040034
100.70988	6.1298445E-5	0.00875692071428572
102.68451	5.9589678E-5	0.00851281114285714
104.68941	6.2767202E-5	0.00896674314285714
106.69591	6.0252043E-5	0.00860743471428571
108.70889	5.9166632E-5	0.008452376
110.70591	5.8866301E-5	0.00840947157142857
112.71163	6.0654484E-5	0.00866492628571429
114.69985	5.9980026E-5	0.00856857514285714
116.69028	5.9524047E-5	0.00850343528571429
118.69337	6.4131975E-5	0.00916171071428571
120.6889	5.8745331E-5	0.00839219014285714
122.70435	6.2747203E-5	0.00896388614285714
124.69169	6.0055637E-5	0.00857937671428572
126.69552	5.8197385E-5	0.00831391214285714
128.68976	6.023651E-5	0.00860521571428571
130.69281	5.5823857E-5	0.00797483671428571
132.69889	5.9432062E-5	0.00849029457142857
134.66519	5.9116003E-5	0.00844514328571429
136.66952	6.2869252E-5	0.00898132171428571
138.69363	5.8816329E-5	0.00840233271428571
140.68035	5.8874839E-5	0.00841069128571429
142.70811	6.156258E-5	0.00879465428571429
144.70421	5.8790669E-5	0.008398667
146.69928	5.7638252E-5	0.008234036
148.69672	5.9436288E-5	0.00849089828571429
150.68804	5.929202E-5	0.00847028857142857
152.70453	5.5236177E-5	0.00789088242857143
154.69414	6.0280036E-5	0.00861143371428571
156.69472	6.2069576E-5	0.00886708228571428
158.70935	5.3630899E-5	0.007661557
160.71636	5.7726037E-5	0.00824657671428571
162.71426	5.8241276E-5	0.00832018228571429
164.71499	5.6113366E-5	0.00801619514285714
166.70785	5.8242589E-5	0.00832036985714286
168.72516	5.9920169E-5	0.00856002414285714
170.73582	5.5440476E-5	0.007920068
172.74458	5.5750753E-5	0.00796439328571429
174.74839	5.3868402E-5	0.007695486
176.74336	5.7473343E-5	0.00821047757142857
178.73103	5.5201061E-5	0.00788586585714286
180.74011	5.5687849E-5	0.007955407
182.73613	5.6714655E-5	0.00810209357142857
184.74635	6.3588175E-5	0.009084025
186.74498	5.8368809E-5	0.00833840128571429
188.7325	5.6909102E-5	0.00812987171428571
190.73649	5.4771692E-5	0.00782452742857143
192.73178	5.7627502E-5	0.00823250028571429
194.73742	5.490632E-5	0.00784376
196.73214	5.7498787E-5	0.00821411242857143
