H	M	M over mass
Oe	emu	emu/g
x=0%, d =4%	x=0%, d =4%	x=0%, d =4%
6533.6415	-2.0629961E-4	-0.0184196080357143
6126.9356	-1.9044713E-4	-0.0170042080357143
5720.244	-1.4739439E-4	-0.0131602133928571
5313.5518	-1.4425918E-4	-0.0128802839285714
4906.8908	-1.3277131E-4	-0.01185458125
4496.5887	-1.2959112E-4	-0.0115706357142857
4089.438	-8.928813E-5	-0.00797215446428571
3682.6439	-6.781468E-5	-0.00605488214285714
3275.8769	-6.6277944E-5	-0.00591767357142857
2867.0397	-4.3739184E-5	-0.00390528428571428
2458.2411	-1.8078735E-5	-0.00161417276785714
2051.5074	2.9382947E-6	2.62347741071429E-4
1644.7495	1.2737662E-5	0.00113729125
1238.0052	3.1216217E-5	0.00278716223214286
831.25511	2.3591264E-5	0.00210636285714286
424.50137	3.5024433E-5	0.00312718151785714
17.710629	-6.454842E-6	-5.76325178571429E-4
-389.05748	-3.0699174E-5	-0.00274099767857143
-795.80854	-4.8676688E-5	-0.00434613285714286
-1202.5732	-4.9877257E-5	-0.00445332651785714
-1609.3589	-5.9576403E-5	-0.00531932169642857
-2016.0661	-2.7954449E-5	-0.00249593294642857
-2422.7918	-1.146972E-5	-0.00102408214285714
-2829.5132	9.0805331E-7	8.10761883928571E-5
-3236.2151	-2.4724568E-6	-2.20755071428571E-4
-3642.9152	6.4261371E-5	0.00573762241071428
-4049.6193	6.0084646E-5	0.00536470053571429
-4456.3386	7.4897268E-5	0.00668725607142857
-4863.0328	1.134795E-4	0.0101320982142857
-5270.3801	1.2735861E-4	0.0113713044642857
-5680.4797	1.3088104E-4	0.0116858071428571
-6087.1891	1.5498158E-4	0.0138376410714286
-6493.8705	1.835617E-4	0.0163894375
-6900.5604	1.9189312E-4	0.0171333142857143
-7307.2555	2.2967145E-4	0.0205063794642857
-7715.9434	2.3919242E-4	0.0213564660714286
-8124.6559	2.5694276E-4	0.0229413178571429
-8531.2265	2.6182507E-4	0.0233772383928571
-8937.7775	2.9521323E-4	0.0263583241071429
-9344.2626	3.0236228E-4	0.0269966321428571
-9750.7434	3.1970682E-4	0.0285452517857143
-10157.142	3.518365E-4	0.0314139732142857
-10563.523	3.5778206E-4	0.0319448267857143
-10969.887	3.8600541E-4	0.03446476875
-11376.176	4.0195722E-4	0.0358890375
-11782.445	4.132229E-4	0.0368949017857143
-11817.231	4.3144159E-4	0.0385215705357143
-11416.779	4.0455867E-4	0.0361213098214286
-11015.968	3.9697473E-4	0.0354441723214286
-10615.297	3.6856425E-4	0.0329075223214286
-10210.965	3.4695058E-4	0.0309777303571428
-9810.6324	3.225963E-4	0.0288032410714286
-9410.3967	3.0299161E-4	0.0270528223214286
-9010.2403	2.89172E-4	0.0258189285714286
-8610.1235	2.7825119E-4	0.02484385625
-8210.0344	2.3758584E-4	0.0212130214285714
-7809.9239	2.1606296E-4	0.0192913357142857
-7409.8638	2.0715165E-4	0.0184956830357143
-7009.8365	1.8507712E-4	0.0165247428571429
-6609.7707	1.7894507E-4	0.0159772383928571
-6209.7318	1.552408E-4	0.0138607857142857
-5809.6759	1.3351201E-4	0.0119207151785714
-5409.6588	1.292681E-4	0.0115417946428571
-5009.582	1.0515825E-4	0.00938912946428571
-4609.5378	8.2912468E-5	0.00740289892857143
-4209.5073	7.0447716E-5	0.00628997464285714
-3809.4517	5.4095208E-5	0.00482992928571429
-3409.4121	3.247274E-5	0.00289935178571429
-3009.3892	3.2765537E-5	0.002925494375
-2609.342	-5.8037517E-6	-5.18192116071429E-4
-2209.3172	-1.4827585E-5	-0.00132389151785714
-1809.2881	-6.1830299E-5	-0.00552056241071429
-1409.2808	-5.8764692E-5	-0.0052468475
-1009.2858	-4.766209E-5	-0.00425554375
-609.29405	-5.5095593E-5	-0.004919249375
-209.2649	-2.7499445E-5	-0.00245530758928571
190.71286	-1.9177029E-6	-1.71223473214286E-4
590.69729	3.1060876E-5	0.0027732925
990.68788	1.909347E-5	0.00170477410714286
1390.6811	3.8584292E-6	3.44502607142857E-4
1790.6493	-3.8610156E-6	-3.44733535714286E-4
2190.6306	-9.5517764E-6	-8.52837178571428E-4
2590.6121	-3.0885772E-5	-0.00275765821428571
2990.5925	-2.5640711E-5	-0.00228934919642857
3390.5344	-3.7767656E-5	-0.00337211214285714
3790.5543	-7.8173589E-5	-0.00697978473214286
4190.4841	-9.3001827E-5	-0.00830373455357143
4590.4711	-1.2907155E-4	-0.0115242455357143
4990.4334	-1.4166747E-4	-0.01264888125
5390.3583	-1.2110309E-4	-0.0108127758928571
5790.3241	-1.6267952E-4	-0.0145249571428571
6190.289	-1.8314824E-4	-0.0163525214285714
6590.2424	-1.8478378E-4	-0.0164985517857143
6990.1948	-2.2313254E-4	-0.0199225482142857
7390.1734	-2.2673223E-4	-0.0202439491071429
7790.0903	-2.5339462E-4	-0.0226245196428571
8190.0323	-2.5999478E-4	-0.0232138196428571
8589.9301	-2.8276924E-4	-0.0252472535714286
8989.8463	-3.0067604E-4	-0.026846075
9389.7018	-3.2786992E-4	-0.0292741
9789.5191	-3.4273051E-4	-0.0306009383928571
10189.278	-3.7550966E-4	-0.0335276482142857
10589.019	-3.9582487E-4	-0.03534150625
10988.73	-3.9439441E-4	-0.0352137866071429
11388.38	-4.1241107E-4	-0.0368224169642857
11787.954	-4.4107254E-4	-0.0393814767857143
