DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
Point3	Point3	Point3
0	46.1516	161.38
0.0560001	37.5178	164.428
0.112	22.1339	148.985
0.168	17.3374	66.3816
0.224	10.8664	57.263
0.28	11.0582	1.77059
0.336	20.4769	-7.32194
0.392	30.4538	-12.6359
0.448	36.5062	-11.8574
0.504	46.2562	-10.1682
0.56	53.3551	-13.0589
0.616	65.0064	-11.0472
0.672	73.6925	-11.9763
0.728	85.2566	-13.1871
0.784	94.6927	-12.3627
0.84	105.803	-10.4993
0.896	121.117	-12.792
0.952	125.652	-12.9576
1.008	137.879	-13.6208
1.064	151.414	-12.2294
1.12	159.455	-12.6373
1.176	180.019	-12.2396
1.232	183.002	-12.5576
1.288	192.42	-12.6207
1.344	205.938	-12.9395
1.4	209.426	-12.9712
1.456	225.403	-12.5899
1.512	233.863	-12.1688
1.568	245.026	-12.6647
1.624	258.456	-12.0364
1.68	269.462	-12.7986
1.736	283.084	-12.9261
1.792	292.834	-13.1146
1.848	301.259	-12.5839
1.904	315.073	-12.7242
1.96	321.003	-12.7501
2.016	332.916	-12.7738
1.96	280.101	-12.6796
1.904	272.741	-12.3684
1.848	261.7	-12.33
1.792	243.177	-13.9981
1.736	236.566	-12.8538
1.68	225.49	-13.0807
1.624	218.479	-12.2571
1.568	205.641	-13.2399
1.512	194.287	-13.9198
1.456	185.88	-13.0705
1.4	174.56	-13.4314
1.344	162.908	-11.8146
1.288	155.653	-12.5784
1.232	139.1	-13.3176
1.176	135.577	-12.8909
1.12	121.292	-14.5196
1.064	109.518	-14.9622
1.008	99.7858	-14.0468
0.952	94.1869	-11.5314
0.896	78.4542	-12.2295
0.84	68.2855	-12.7623
0.784	57.925	-7.2567
0.728	48.8551	-10.887
0.672	39.698	-9.77715
0.616	27.5061	-14.0644
0.56	17.9304	-12.3975
0.504	12.2269	2.16769
0.448	9.12218	26.7262
0.392	17.5118	108.202
0.336	26.1805	92.5899
0.28	38.4422	126.59
0.224	48.0702	165.28
0.168	55.6052	158.642
0.112	62.9134	166.807
0.0560001	75.3495	165.79
0	89.5473	148.413
-0.0560001	98.4428	163.946
-0.112	108.35	166.815
-0.168	125.007	165.615
-0.224	133.24	164.877
-0.28	143.356	167.08
-0.336	152.618	166.73
-0.392	163.048	166.475
-0.448	173.252	164.302
-0.504	177.298	165.493
-0.56	189.508	166.047
-0.616	204.49	165.971
-0.672	212.95	166.336
-0.728	220.729	167.266
-0.784	239.252	166.816
-0.84	245.636	166.717
-0.896	251.654	166.728
-0.952	265.921	166.896
-1.008	274.904	166.914
-1.064	285.142	166.33
-1.12	297.282	166.881
-1.176	305.916	166.462
-1.232	315.98	166.256
-1.288	331.241	166.987
-1.344	336.893	167.174
-1.4	353.654	166.99
-1.456	358.922	166.755
-1.512	368.096	166.394
-1.568	380.533	166.651
-1.624	387.318	166.085
-1.68	401.812	166.546
-1.736	409.207	166.321
-1.792	418.312	166.792
-1.848	429.545	166.553
-1.904	439.504	165.998
-1.96	449.132	166.8
-2.016	462.51	166.84
-1.96	416.62	166.366
-1.904	408.318	166.587
-1.848	396.789	166.347
-1.792	391.748	166.213
-1.736	377.829	165.854
-1.68	369.352	166.109
-1.624	360.771	166.314
-1.568	349.294	166.503
-1.512	340.974	166.433
-1.456	325.73	166.162
-1.4	313.642	166.556
-1.344	303.892	166.225
-1.288	290.479	166.308
-1.232	285.456	165.205
-1.176	273.317	166.04
-1.12	258.683	166.235
-1.064	248.967	167.162
-1.008	243.752	166.196
-0.952	229.903	166.617
-0.896	220.397	166.462
-0.84	210.578	166.46
-0.784	198.525	166.456
-0.728	186.228	165.709
-0.672	175.135	166.179
-0.616	170.356	166.777
-0.56	154.397	164.24
-0.504	139.676	166.05
-0.448	132.42	165.323
-0.392	124.78	163.642
-0.336	113.321	164.21
-0.28	101.827	164.047
-0.224	90.7334	162.975
-0.168	81.3147	163.894
-0.112	72.4193	163.079
-0.0560001	59.4075	165.033
0	46.1516	161.38
