DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
Point2	Point2	Point2
0	49.8667	150.52
0.0560001	35.8085	131.108
0.112	27.82	110.091
0.168	13.3257	40.0371
0.224	10.3954	-2.40979
0.28	10.0989	-9.07935
0.336	17.1281	-7.77437
0.392	30.1747	-12.1575
0.448	40.1167	-7.83739
0.504	46.8667	-11.7913
0.56	59.268	-10.0184
0.616	73.0123	-10.5955
0.672	87.559	-12.2151
0.728	89.338	-10.9587
0.784	103.588	-10.3475
0.84	113.931	-10.2934
0.896	126.437	-11.2607
0.952	135.594	-11.7124
1.008	146.897	-10.6095
1.064	158.74	-11.8694
1.12	168.385	-11.1965
1.176	178.571	-11.4839
1.232	192.891	-11.0853
1.288	198.752	-9.8283
1.344	210.665	-11.3264
1.4	224.322	-11.6996
1.456	231.124	-11.4149
1.512	247.572	-10.7433
1.568	262.345	-9.95975
1.624	274.886	-10.6738
1.68	280.572	-10.9056
1.736	287.95	-10.0838
1.792	302.078	-11.063
1.848	313.311	-10.9414
1.904	324.596	-10.9681
1.96	335.55	-10.9364
2.016	345.404	-10.8111
1.96	294.735	-11.2229
1.904	287.567	-10.9029
1.848	279.979	-11.1486
1.792	266.88	-11.1729
1.736	251.287	-11.1909
1.68	240.944	-11.0549
1.624	233.932	-11.4503
1.568	220.049	-11.2122
1.512	210.647	-11.2636
1.456	200.025	-10.8152
1.4	195.037	-10.8135
1.344	178.502	-10.3194
1.288	167.095	-11.0078
1.232	154.17	-10.744
1.176	144.263	-11.2995
1.12	132.263	-10.9338
1.064	123.472	-11.3015
1.008	107.774	-12.1424
0.952	102.315	-11.8678
0.896	90.0357	-9.21566
0.84	78.4717	-11.7727
0.784	63.8378	-11.7582
0.728	55.0121	-11.1655
0.672	45.3841	-7.27797
0.616	33.7852	-20.4086
0.56	24.0874	-10.0009
0.504	12.942	4.33102
0.448	8.38961	-9.26267
0.392	15.7153	56.0328
0.336	21.9421	99.1626
0.28	34.3608	155.9
0.224	45.3667	134.524
0.168	55.1517	164.78
0.112	68.6867	167.603
0.0560001	78.4891	167.854
0	84.8206	168.451
-0.0560001	103.484	168.118
-0.112	112.239	169.301
-0.168	122.687	170.209
-0.224	134.373	169.541
-0.28	147.246	169.256
-0.336	154.484	168.377
-0.392	170.304	168.62
-0.448	177.769	168.54
-0.504	189.473	169.065
-0.56	200.147	168.784
-0.616	210.839	169.397
-0.672	224.897	168.123
-0.728	228.368	168.911
-0.784	243.246	168.204
-0.84	249.648	169.083
-0.896	260.601	168.07
-0.952	272.41	168.097
-1.008	279.596	168.608
-1.064	293.881	167.974
-1.12	307.154	168.519
-1.176	312.474	168.765
-1.232	322.643	168.883
-1.288	332.864	169.199
-1.344	346.276	168.723
-1.4	359.271	168.439
-1.456	367.085	168.521
-1.512	379.259	168.583
-1.568	386.899	168.812
-1.624	401.306	168.38
-1.68	411.388	168.893
-1.736	422.08	168.677
-1.792	433.766	168.371
-1.848	445.487	169.001
-1.904	463.609	168.904
-1.96	476.115	168.507
-2.016	482.9	168.67
-1.96	436.469	168.749
-1.904	423.893	168.189
-1.848	406.853	168.212
-1.792	398.341	168.309
-1.736	388.486	168.577
-1.68	377.742	167.819
-1.624	367.329	168.221
-1.568	358.399	167.941
-1.512	344.759	168.201
-1.456	334.398	168.431
-1.4	325.259	167.995
-1.344	311.828	168.978
-1.288	294.107	168.598
-1.232	289.014	168.226
-1.176	278.793	168.402
-1.12	265.729	167.952
-1.064	256.799	168.067
-1.008	246.124	167.307
-0.952	232.293	167.735
-0.896	221.043	167.516
-0.84	210.351	167.771
-0.784	199.223	167.648
-0.728	187.467	168.646
-0.672	176.949	167.692
-0.616	167.688	167.629
-0.56	154.606	166.671
-0.504	137.094	167.578
-0.448	133.362	167.173
-0.392	118.484	167.267
-0.336	109.71	167.815
-0.28	99.5242	166.011
-0.224	86.8613	167.73
-0.168	78.5938	165.138
-0.112	66.9599	165.422
-0.0560001	56.704	129.357
0	47.6865	131.748
