Field	M	M over mass	M with diamagnetism	M/Ms
kOe	emu	emu/g	emu/g	
x=0%, d=4%	x=0%, d=4%	x=0%, d=4%	x=0%, d=4%	x=0%, d=4%
94.718401	-2.9186129E-5	-0.00272767560747664	0.00127208641712483	0.467101633905802
95.192124	-3.3315842E-5	-0.00311363009345795	9.04691888658136E-4	0.389959328540021
95.703269	-3.4043991E-5	-0.00318168140186916	8.56666691463401E-4	0.379875415633887
96.212257	-3.3236851E-5	-0.00310624775700935	9.52041938600167E-4	0.399901479902365
96.723968	-3.3531021E-5	-0.00313374028037383	9.44597701723266E-4	0.398338403835964
97.234602	-3.2799359E-5	-0.00306536065420561	0.0010329834186777	0.416896867392098
97.717846	-4.0107656E-5	-0.00374837906542056	3.68897987514777E-4	0.277457988610918
98.237383	-3.3821218E-5	-0.0031608614953271	9.76770458356711E-4	0.405093759249214
98.726395	-3.1012885E-5	-0.00289840046728972	0.00125839045048098	0.464225874036625
99.217928	-3.283757E-5	-0.00306893177570093	0.0011071168762246	0.432462765566389
99.726245	-3.4809844E-5	-0.00325325644859813	9.42707516546205E-4	0.397941519204243
101.02983	-3.176934E-5	-0.00296909719626168	0.00127793982680191	0.468330681922997
103.54032	-3.4629186E-5	-0.00323637252336449	0.00110902279714477	0.432862954252487
106.04005	-3.519905E-5	-0.0032896308411215	0.00115370121160889	0.442244138850512
108.54307	-3.2389285E-5	-0.00302703598130841	0.00151436170230378	0.517972489576561
111.04192	-4.0624572E-5	-0.00379668897196262	8.42610966417401E-4	0.376924116826686
113.52821	-3.9782217E-5	-0.00371796420560748	0.00101874590025227	0.413907397193375
116.03411	-4.0461705E-5	-0.00378146775700935	0.00105342081503392	0.421188133996348
118.52663	-3.7925296E-5	-0.00354442018691589	0.00138812263730495	0.491465909465329
121.03563	-3.8962566E-5	-0.00364136130841122	0.00138948143665821	0.491751218326834
123.54354	-4.2942469E-5	-0.00401331485981308	0.00111578510107754	0.434282843974675
126.03997	-4.179032E-5	-0.00390563738317757	0.00132127001948429	0.477428778645917
128.52214	-4.2865684E-5	-0.00400613869158879	0.00131801746138505	0.476745834805793
131.02991	-4.3781027E-5	-0.00409168476635514	0.00133072311739049	0.479413657866564
133.54623	-3.845185E-5	-0.0035936308411215	0.00192736375319795	0.604691065543759
136.03594	-3.9363765E-5	-0.00367885654205608	0.00193968221166391	0.607277588235271
138.53985	-4.5323423E-5	-0.00423583392523365	0.00148080532861068	0.510926614295825
141.02811	-4.8726247E-5	-0.00455385485981309	0.00126027174399167	0.464620891673631
143.52889	-4.4265996E-5	-0.00413700897196262	0.00177509550193369	0.572719103452859
146.03141	-4.8473151E-5	-0.00453020102803738	0.00147994948727861	0.510746912181973
148.53326	-4.5108596E-5	-0.00421575663551402	0.00189241367134245	0.597352551553612
151.03497	-4.8718639E-5	-0.0045531438317757	0.00165304078157185	0.547091115608882
153.53441	-5.1890798E-5	-0.00484960728971963	0.00145450269396104	0.505403816004475
156.03688	-5.2161932E-5	-0.00487494691588785	0.00152720715026629	0.520669664935759
158.52473	-4.8134186E-5	-0.00449852205607477	0.00200110329668087	0.620174253071437
161.03282	-5.4119757E-5	-0.00505792121495327	0.00153996840582992	0.52334916230783
163.5201	-5.1999813E-5	-0.00485979560747664	0.00183554296792125	0.585411336239399
166.02865	-5.1107094E-5	-0.00477636392523365	0.00201725694049693	0.623566054602149
168.53143	-5.3510304E-5	-0.00500096299065421	0.00189071410301635	0.596995690989169
171.02628	-5.5731489E-5	-0.00520855037383178	0.00178087225890977	0.573932056603066
173.55017	-5.7575017E-5	-0.00538084271028037	0.00170746321749128	0.55851826502226
176.05211	-5.8233665E-5	-0.00544239859813084	0.00174393064728446	0.566175378525695
178.55186	-5.8486068E-5	-0.0054659876635514	0.00181827909766351	0.581786419023631
181.06165	-5.7033689E-5	-0.00533025130841122	0.00205234632500242	0.630933818150279
183.58354	-6.0940849E-5	-0.00569540644859813	0.00178599612199718	0.575007920777177
186.07479	-5.7612646E-5	-0.00538435943925234	0.0021946476262868	0.660813006834557
188.59009	-5.9225767E-5	-0.00553511841121495	0.0021424354023953	0.649849938505603
191.07202	-5.8457805E-5	-0.00546334626168225	0.00231144689929817	0.685337501586147
193.57152	-5.6689865E-5	-0.00529811822429907	0.00257460265774992	0.740592657295656
196.06853	-6.3909683E-5	-0.00597286757009346	0.0019976834775028	0.619456189205784
198.56839	-6.3415402E-5	-0.00592667308411215	0.0021418197889654	0.649720677355757
201.07247	-6.2324089E-5	-0.00582468121495327	0.00234191881866573	0.691735729994024
203.56317	-6.4764484E-5	-0.00605275551401869	0.00221142746613582	0.664336291557998
206.07404	-6.6266378E-5	-0.00619311943925234	0.00216943672633904	0.655519441493688
208.5604	-6.7405455E-5	-0.00629957523364486	0.00216039384195093	0.653620695337162
211.0669	-6.7840673E-5	-0.00634024981308412	0.00221792123604973	0.665699796844166
213.56902	-6.516995E-5	-0.00609064953271028	0.00256555188627357	0.738692255076989
216.06326	-6.6594898E-5	-0.00622382224299065	0.00253010081592041	0.731248547882598
218.56373	-7.0393176E-5	-0.0065788014953271	0.00227308728820902	0.677283084323316
221.05987	-6.8008271E-5	-0.0063559131775701	0.00259377168584924	0.744617602972921
223.56199	-7.6331469E-5	-0.00713378214953271	0.00191393308373663	0.601871010467882
226.06472	-7.3387849E-5	-0.00685867747663552	0.0022870920256276	0.680223677192298
228.5598	-7.1747544E-5	-0.00670537794392524	0.00253814610856143	0.73293782840689
231.07107	-7.1641696E-5	-0.00669548560747664	0.00264642730201658	0.755673770952767
233.56737	-7.3287959E-5	-0.00684934196261682	0.00259037329538748	0.743904038522609
236.06562	-7.2941097E-5	-0.00681692495327103	0.00272066905214658	0.771262407461102
238.56124	-7.8484904E-5	-0.00733503775700935	0.00230033195525088	0.683003682377141
241.0684	-8.4087885E-5	-0.0078586808411215	0.00187491670276677	0.593678690381881
243.56295	-8.4405357E-5	-0.00788835112149533	0.00194298020778665	0.607970072756088
246.05512	-8.4998529E-5	-0.00794378775700935	0.00198518411182673	0.616831681192868
248.55919	-8.3438507E-5	-0.00779799130841122	0.00222908732917709	0.668044355891815
251.06636	-7.4617055E-5	-0.00697355654205608	0.0031517503189495	0.861777099827276
253.55217	-8.107684E-5	-0.00757727476635514	0.00264542345624654	0.755462992155229
256.05753	-8.0303725E-5	-0.00750502102803738	0.00281583450412874	0.791244420769028
258.55124	-8.2439026E-5	-0.00770458186915888	0.00271397453810464	0.769856751670162
261.05537	-8.8039498E-5	-0.00822799046728972	0.00228867505946146	0.68055606885835
263.54116	-9.0290654E-5	-0.00843837887850468	0.00217567722626413	0.656829767352012
266.05619	-8.9379203E-5	-0.00835319654205608	0.00235939573247431	0.695405380240313
268.5617	-8.3398059E-5	-0.00779421112149533	0.00301654433943815	0.833387725052769
271.06541	-8.9840298E-5	-0.00839628953271029	0.00251255859256269	0.727565184505621
273.56175	-8.7487677E-5	-0.00817641841121496	0.00283023362972608	0.794267823835115
276.04754	-9.538246E-5	-0.00891424859813084	0.00218979402082781	0.659793889004999
278.55242	-1.0034868E-4	-0.00937838130841122	0.00182379981422826	0.582945611036787
281.04376	-9.2816891E-5	-0.00867447579439252	0.00262531334929395	0.751240446931299
283.54055	-8.391105E-5	-0.00784215420560748	0.00355545648426295	0.946543806649591
286.03683	-1.0044073E-4	-0.00938698411214954	0.0021084281426535	0.642709390096774
288.53059	-9.4442832E-5	-0.00882643289719627	0.00276668219165037	0.780923846005801
291.02883	-9.3955022E-5	-0.0087808431775701	0.0029101502669006	0.811048023732082
293.53088	-9.4305372E-5	-0.0088135861682243	0.00297543490357171	0.824755923517077
296.02669	-1.0314538E-4	-0.00963975514018692	0.00224704908244731	0.671815808508323
298.52776	-9.6475653E-5	-0.0090164161682243	0.00296837728638951	0.823274026489116
301.62592	-9.9025491E-5	-0.00925471878504673	0.00285145724540456	0.798724173929573
305.40273	-1.0334703E-4	-0.00965860093457944	0.002595546448626	0.744990252213638
309.15385	-1.0866256E-4	-0.0101553794392523	0.00224573279014423	0.671539424907243
312.903	-1.0390784E-4	-0.00971101308411215	0.00283698680899486	0.795685797639778
316.65556	-1.0623452E-4	-0.00992845981308411	0.00276656134386489	0.780898471439639
320.39443	-1.0784701E-4	-0.0100791598130841	0.00276234624823441	0.780013422346422
324.14354	-1.100683E-4	-0.0102867570093458	0.00270163514852619	0.767265834045829
327.89452	-1.0494082E-4	-0.00980755327102804	0.00332779824798569	0.898742111683609
331.63312	-1.1220766E-4	-0.0104866971962617	0.00279512864881204	0.786896785488866
335.38501	-1.1257588E-4	-0.0105211102803738	0.00290771057866267	0.810535759230395
339.13865	-1.1520396E-4	-0.0107667252336449	0.00280915920247178	0.789842799027466
342.8809	-1.0817911E-4	-0.0101101971962617	0.00361230456898833	0.958480272686924
346.62641	-1.2703111E-4	-0.0118720663551402	0.00199718046253612	0.619350570501213
350.37402	-1.1502418E-4	-0.010749923364486	0.00326615078135748	0.88579791320709
354.11762	-1.175806E-4	-0.0109888411214953	0.00317390324502918	0.866428578431262
357.86904	-1.1819006E-4	-0.0110458	0.00326392096639291	0.88532971606865
361.6214	-1.2157997E-4	-0.0113626140186916	0.00309412037575846	0.849676465954449
365.3684	-1.217917E-4	-0.0113824018691589	0.00322113595431455	0.876346091623829
369.10896	-1.3070003E-4	-0.0122149560747664	0.00253513286545853	0.732305133846752
372.8635	-1.3123024E-4	-0.012264508411215	0.00263267936712187	0.752787099242595
376.60769	-1.3014946E-4	-0.0121635009345794	0.00288038018000371	0.804797159997802
380.3557	-1.2386527E-4	-0.0115761934579439	0.00361453065637607	0.958947687141224
384.09984	-1.3536813E-4	-0.0126512271028037	0.00268618838881638	0.764022457887182
387.85541	-1.3371147E-4	-0.0124963990654206	0.00298815561860343	0.827426908541116
391.6032	-1.3413389E-4	-0.0125358775700935	0.00309551149430404	0.849968560918657
395.35371	-1.3197643E-4	-0.0123342457943925	0.00344408421705233	0.92315882734057
399.09549	-1.4469189E-4	-0.0135226065420561	0.00240232238442778	0.704418744993307
402.84468	-1.3652351E-4	-0.0127592065420561	0.00331261161529517	0.895553354732385
406.5846	-1.4913809E-4	-0.0139381392523365	0.00228020494725475	0.678777588419192
410.338	-1.4163088E-4	-0.0132365308411215	0.00312886753260804	0.856972371518067
414.11081	-1.3930841E-4	-0.0130194775700935	0.00349373544069337	0.93358415912732
417.8675	-1.425845E-4	-0.0133256542056075	0.00333474187797834	0.900200074673629
421.61607	-1.4885854E-4	-0.0139120130841122	0.00289524793940806	0.807918962711799
425.36407	-1.4450164E-4	-0.0135048261682243	0.0034492774632435	0.924249259974912
429.11115	-1.5441971E-4	-0.0144317485981308	0.00266916159667428	0.76044732027066
432.85852	-1.538367E-4	-0.014377261682243	0.00287046643778746	0.802715558694278
436.61211	-1.5762447E-4	-0.0147312588785047	0.00266353085965971	0.759265027121045
440.36208	-1.610142E-4	-0.0150480560747664	0.00249365345382631	0.723595648019951
444.10257	-1.5615671E-4	-0.014594085046729	0.00309417285609044	0.849687485317781
447.84768	-1.5692523E-4	-0.0146659093457944	0.00316907793788164	0.865415402434841
451.59991	-1.7561602E-4	-0.0164127121495327	0.00156928346894033	0.529504484107854
