Field	M	M over mass	M with diamagnetism	M/Ms
kOe	emu	emu/g	emu/g	
x=1.4%, d =9%	x=1.4%, d =9%	x=1.4%, d =9%	x=1.4%, d =9%	x=1.4%, d =9%
-0.4614292	-4.8428036E-5	-0.00440254872727273	-0.00603426300164745	-0.927547654536995
-0.46517186	-4.6320978E-5	-0.004210998	-0.00600948129176669	-0.898398047824616
-0.46892381	-4.3329154E-5	-0.003939014	-0.0060673348194885	-0.856021735913722
-0.47266642	-4.7824699E-5	-0.00434769990909091	-0.00608513069349707	-0.925620715877197
-0.47641502	-4.9883846E-5	-0.00453489509090909	-0.00613486193129548	-0.95878467779043
-0.48016675	-4.5653832E-5	-0.00415034836363636	-0.00623787871240102	-0.897889840841991
-0.48391615	-4.7235661E-5	-0.004294151	-0.00629711048847369	-0.923915533620545
-0.48766036	-5.1353014E-5	-0.00466845581818182	-0.00630860991515099	-0.987859279442702
-0.49140994	-5.0079658E-5	-0.00455269618181818	-0.006316317316903	-0.971182901074882
-0.49515773	-4.6182447E-5	-0.00419840427272727	-0.0062756334131406	-0.915262982013428
-0.49889855	-4.6026469E-5	-0.00418422445454546	-0.0061978604324851	-0.915292591716666
-0.50265167	-4.6970881E-5	-0.00427008009090909	-0.00620326417066337	-0.931787416638933
-0.50639905	-4.6153303E-5	-0.00419575481818182	-0.00626973003618221	-0.921926270745384
-0.51015441	-4.9216359E-5	-0.00447421445454545	-0.00627622475826872	-0.970108978114252
-0.51393487	-4.844021E-5	-0.00440365545454546	-0.00626985478326659	-0.960888335719477
-0.51767843	-4.3921788E-5	-0.00399288981818182	-0.00626352556437597	-0.895674905334987
-0.5214246	-4.6864144E-5	-0.00426037672727273	-0.00623738325366115	-0.942046618190755
-0.52517471	-4.6871008E-5	-0.00426100072727273	-0.00627646043348071	-0.944517561871818
-0.52892037	-4.6447649E-5	-0.00422251354545455	-0.00639390549833866	-0.940551274361756
-0.53268155	-4.8824189E-5	-0.00443856263636364	-0.00644414894514286	-0.978470114778584
-0.53645326	-5.0764097E-5	-0.00461491790909091	-0.00648692971222026	-1.00986533114914
-0.54020298	-4.6811294E-5	-0.00425557218181818	-0.00649130163859496	-0.953115196238479
-0.54394818	-4.844854E-5	-0.00440441272727273	-0.00646905835272914	-0.979967054003749
-0.54769655	-4.6690295E-5	-0.00424457227272727	-0.00643219859337159	-0.956037905160741
-0.55143668	-4.8119864E-5	-0.00437453309090909	-0.00643121902101102	-0.979780541124649
-0.55519524	-4.638475E-5	-0.00421679545454546	-0.00644574934386094	-0.95620377505783
-0.55893683	-4.6580649E-5	-0.00423460445454546	-0.00645297327749116	-0.961496548125118
-0.56268727	-4.8872402E-5	-0.00444294563636364	-0.00647572026956906	-0.998140530471652
-0.56642977	-4.5648182E-5	-0.00414983472727273	-0.0064516890239719	-0.952282532990299
-0.57018412	-4.8747051E-5	-0.00443155009090909	-0.00640062973911434	-1.00100022222377
-0.57393148	-4.2771642E-5	-0.00388833109090909	-0.00636249499189463	-0.913998474688446
-0.57767367	-4.4582014E-5	-0.00405291036363636	-0.00638342382495199	-0.943437706323337
-0.58142235	-4.6663198E-5	-0.00424210890909091	-0.00640680804954213	-0.976931304423504
-0.5851697	-4.7040311E-5	-0.00427639190909091	-0.00648520382742422	-0.984937954064088
-0.5889218	-4.646261E-5	-0.00422387363636364	-0.00656465784694007	-0.978667392566505
-0.59266456	-4.6496703E-5	-0.004226973	-0.0065703524346654	-0.981540931829957
-0.59641667	-4.9807468E-5	-0.00452795163636364	-0.00654512842086017	-1.03342632584222
-0.60058955	-4.4308672E-5	-0.00402806109090909	-0.00656371861960805	-0.953821534893274
-0.6055689	-4.4539614E-5	-0.00404905581818182	-0.0065598588224354	-0.960420087056374
-0.61058681	-4.8891078E-5	-0.00444464345454546	-0.00652509727965533	-1.02866957261249
-0.61560582	-4.5333384E-5	-0.00412121672727273	-0.00654116847928731	-0.978630280642141
-0.62059769	-4.4201837E-5	-0.00401834881818182	-0.00653881141983992	-0.964859335890722
-0.62558815	-4.4981638E-5	-0.00408923981818182	-0.0065279403110437	-0.979673646790118
-0.63058588	-4.5451521E-5	-0.00413195645454546	-0.00657968748226233	-0.989857411142726
-0.6355755	-4.6350333E-5	-0.00421366663636364	-0.00664837823015146	-1.00645112166
-0.64057131	-4.645899E-5	-0.00422354454545455	-0.00669416578395189	-1.01123117262731
-0.64560962	-4.6946971E-5	-0.00426790645454546	-0.00671659227511058	-1.02171123816478
-0.65060955	-4.6108918E-5	-0.00419171981818182	-0.00671926751310487	-1.01233488366536
-0.65560326	-4.5745803E-5	-0.00415870936363636	-0.00672041690196597	-1.01005778012724
-0.6605893	-4.5672567E-5	-0.00415205154545455	-0.00672014314324488	-1.01211126697577
-0.66560498	-4.5906014E-5	-0.004173274	-0.0067038773735891	-1.01877022723013
-0.67062315	-4.5584053E-5	-0.00414400481818182	-0.00669020704868416	-1.01712407054764
-0.6756129	-4.3428146E-5	-0.00394801327272727	-0.00669333286642452	-0.988031445185444
-0.68060707	-4.462543E-5	-0.00405685727272727	-0.00667424101558926	-1.0090919803386
-0.68559974	-4.5634489E-5	-0.00414858990909091	-0.00665046162960713	-1.02733647260278
-0.69059387	-4.2689444E-5	-0.00388085854545455	-0.00665882682728839	-0.986444254897151
-0.69559258	-4.2518394E-5	-0.00386530854545455	-0.00665688363891315	-0.987042835674133
-0.70057927	-4.4449443E-5	-0.00404085845454546	-0.0066125569359387	-1.01907284612118
-0.7055769	-4.3744955E-5	-0.00397681409090909	-0.00660846326257595	-1.01169263903165
-0.71056652	-3.9725871E-5	-0.00361144281818182	-0.00655186102556553	-0.954734231587669
-0.71555705	-4.2714987E-5	-0.00388318063636364	-0.00648354206152622	-1.00259113120743
-0.72054927	-3.8529101E-5	-0.00350264554545455	-0.0064350176199123	-0.943139672796945
-0.72554899	-4.024474E-5	-0.00365861272727273	-0.00644692929340882	-0.971956237181707
-0.73058853	-3.9056557E-5	-0.00355059609090909	-0.00645492386323519	-0.957368348424838
-0.73557799	-4.101583E-5	-0.00372871181818182	-0.00649747206974528	-0.989822226713451
-0.74057313	-4.0596537E-5	-0.00369059427272727	-0.00650655201006909	-0.986705827340187
-0.74556921	-3.9723125E-5	-0.00361119318181818	-0.00656137383165228	-0.976798211798085
-0.75055707	-3.9150112E-5	-0.00355910109090909	-0.00664967299929252	-0.971378176564126
-0.75555161	-4.3096182E-5	-0.00391783472727273	-0.00674196350925047	-1.03354982534341
