Field	M	M over mass	M with diamagnetism	M/Ms
kOe	emu	emu/g	emu/g	
x=15%, d =21%	x=15%, d =21%	x=15%, d =21%	x=15%, d =21%	x=15%, d =21%
1.9745458	-4.4684153E-5	-0.00369290520661157	0.00272069857241838	0.976364323856331
1.9238502	-4.281468E-5	-0.00353840330578512	0.00272941999373818	0.966259560646773
1.8731868	-4.0507318E-5	-0.00334771223140496	0.00277870266309764	0.959363143129831
1.8225463	-3.9600228E-5	-0.00327274611570248	0.00279409848847551	0.955675071305506
1.7718975	-3.4380464E-5	-0.00284136066115702	0.00275290508271946	0.955195345173797
1.7212604	-3.6533306E-5	-0.00301928148760331	0.00272177435646711	0.957923964734704
1.6706053	-3.2690228E-5	-0.00270167173553719	0.00273546289759318	0.971851972890591
1.6199604	-2.9459333E-5	-0.00243465561983471	0.00273830914604075	0.979932296148112
1.5693197	-2.9156772E-5	-0.0024096505785124	0.0027432529448998	0.98247709147059
1.5186779	-2.5462759E-5	-0.00210436024793388	0.00282525817614782	0.975462346602684
1.4680402	-2.2464765E-5	-0.00185659214876033	0.00288062206288162	0.970515480691435
1.4174049	-2.068677E-5	-0.00170965041322314	0.0027497456542283	0.964962239077675
1.3667656	-2.5307016E-5	-0.00209148892561984	0.00256738975944577	0.961192567128874
1.3161318	-1.6122215E-5	-0.00133241446280992	0.00258639190887346	0.961759183557418
1.2654835	-1.8420105E-5	-0.00152232272727273	0.00276095276358113	0.967811420349017
1.21439	-1.1396853E-5	-9.41888677685951E-4	0.00285552510093756	0.99117628128142
1.163709	-1.0131486E-5	-8.37312892561984E-4	0.00282747217772642	1.02546915001475
1.1130712	-9.6333568E-6	-7.96145190082645E-4	0.00284707681557945	1.04238684432558
1.0624326	-3.2965541E-6	-2.72442487603306E-4	0.00297889436374904	1.04022793025914
1.0117949	-2.9837154E-6	-2.46588049586777E-4	0.00301644645516129	1.02947335485609
0.96116211	-2.1948155E-6	-1.81389710743802E-4	0.00281039984123088	1.03187698171907
0.91051189	-2.8732018E-6	-2.37454694214876E-4	0.00262139895719077	1.03198368385981
0.85988691	1.5672437E-6	1.29524272727273E-4	0.00274196473538873	1.01693219406516
0.80924671	4.0130181E-6	3.31654388429752E-4	0.00295536918299526	1.00494365875752
0.75861417	8.4080563E-6	6.94880685950413E-4	0.00290329156758298	0.994188288951511
0.70798428	6.33685E-6	5.23706611570248E-4	0.00268621700024989	0.990902060812535
0.65734664	6.013095E-6	4.9695E-4	0.00258961370906378	0.981452986356442
0.6067109	1.0628201E-5	8.78363719008265E-4	0.00262377590560261	0.970768159873052
0.5560788	1.4792002E-5	0.00122247950413223	0.00266939200006035	0.959202620946751
0.50543248	9.2912732E-6	7.67873818181818E-4	0.00267705100941897	0.970940772933825
0.45480285	2.1528442E-5	0.00177921008264463	0.00266110062290458	0.987820868286688
0.40416694	1.8775345E-5	0.00155168140495868	0.00271593972449643	0.991908655147831
0.35353501	1.8526008E-5	0.00153107504132231	0.00281560973253071	0.99492479082941
0.30289337	2.8211078E-5	0.00233149404958678	0.00272015794197258	1.01976069591474
0.25225611	2.1752854E-5	0.00179775652892562	0.00249251915111217	0.993875302750066
0.20161745	2.2992913E-5	0.00190024074380165	0.00253743661982401	0.908227122413101
0.15098771	3.2401997E-5	0.00267785099173554	0.00267300193849546	0.806486951216838
0.10036388	2.3674769E-5	0.00195659247933884	0.00219628479495122	0.715751229048692
0.04970045	1.803994E-5	0.00149090413223141	0.00127212413222936	0.636972982427406
-9.3238061E-4	1.1837547E-5	9.78309669421488E-4	9.13117202266268E-4	0.554241426429903
-0.051570864	2.2427879E-5	0.00185354371900826	0.00129202571915117	0.438840105939913
-0.1022077	2.719912E-5	0.00224786115702479	0.0014607060945181	0.273778868451601
-0.15284926	1.3929858E-5	0.0011512279338843	8.57201367694885E-4	0.11540746176632
-0.20348119	1.5587139E-5	0.00128819330578512	-1.10420296285735E-4	-0.0422913011939685
-0.2541292	1.980444E-6	1.6367305785124E-4	-8.99975281587161E-4	-0.237155616673282
-0.30475705	-4.000169E-6	-3.30592479338843E-4	-0.00134128390442298	-0.429522934335342
-0.35539796	2.6333442E-6	2.17631752066116E-4	-0.00147786794436045	-0.565085295587726
-0.40601983	4.34382E-6	3.58993388429752E-4	-0.00146166651962462	-0.648561571345462
-0.45666861	-1.9052168E-6	-1.57455933884298E-4	-0.00147298011636455	-0.673112899568071
-0.50741448	9.8902574E-6	8.17376644628099E-4	-0.00157142272872946	-0.640693036587839
-0.55843789	5.8914732E-6	4.86898611570248E-4	-0.00168666960709567	-0.599092441470972
-0.60906746	4.1196826E-6	3.40469636363636E-4	-0.00165649368359398	-0.575183231986262
-0.65970634	1.7567906E-5	0.00145189305785124	-0.00135830405567872	-0.559519722232408
-0.7103494	1.9386659E-5	0.0016022032231405	-0.00104296597803824	-0.561201890922265
-0.76098063	1.8601151E-5	0.00153728520661157	-0.00119175507619082	-0.573554263523186
-0.81160533	1.5546813E-5	0.0012848605785124	-0.00171507121217706	-0.591118040280032
-0.86224306	1.8883824E-5	0.00156064661157025	-0.00194397028825735	-0.657611537289538
-0.91288165	1.4703677E-5	0.00121517991735537	-0.00176896095686641	-0.741283299133248
-0.9635072	2.2320122E-5	0.00184463818181818	-0.00182230064519953	-0.797123645079981
-1.0141485	2.0744817E-5	0.00171444768595041	-0.00221360183499493	-0.809045380689569
-1.0647843	1.6208794E-5	0.00133956975206612	-0.00231659983401692	-0.817332680042575
-1.1154213	2.2706412E-5	0.00187656297520661	-0.00202762704565718	-0.787908271551931
-1.1660483	3.5429972E-5	0.00292809685950413	-0.00188090638125098	-0.759268063879313
-1.2166888	2.2737628E-5	0.00187914280991736	-0.00192388081804732	-0.733792954178296
-1.2673198	3.6261223E-5	0.0029967952892562	-0.0018102285330153	-0.712006267701054
-1.3179624	3.8426102E-5	0.00317571090909091	-0.00169671160108414	-0.709178322277813
-1.3685868	3.5137134E-5	0.00290389537190083	-0.00189229833517559	-0.764472678095798
-1.4192331	3.4012048E-5	0.00281091305785124	-0.00219528478423715	-0.824842676916144
-1.4698589	3.7144695E-5	0.00306980950413223	-0.00236570545995637	-0.881703301622934
-1.5204889	3.5360582E-5	0.00292236214876033	-0.00250044076229495	-0.942796898255608
-1.5716137	3.5002408E-5	0.00289276099173554	-0.00261938191785949	-0.979449960112533
-1.622279	3.8074776E-5	0.00314667570247934	-0.00262647557961159	-0.959681874626502
-1.672898	4.3564264E-5	0.00360035239669422	-0.00255880327234942	-0.945039344885897
-1.7235348	4.3382739E-5	0.00358535033057851	-0.00241675148863327	-0.954146570205333
-1.774166	4.6468761E-5	0.00384039347107438	-0.00224935468939098	-0.959934009473589
-1.8248027	5.5402238E-5	0.0045786973553719	-0.00237970815531707	-0.961465479832675
-1.8754369	4.2111238E-5	0.00348026760330579	-0.00281104579191431	-0.982978670423753
-1.926069	4.6345611E-5	0.00383021578512397	-0.00295362837692484	-1.00012939904544
-1.97666	5.6474768E-5	0.00466733619834711	-0.00264826601225028	-1.01171774827872
-1.9763749	5.1326987E-5	0.00424189975206612	-0.00247646309808409	-1.01753304209405
-1.9263225	5.1638908E-5	0.00426767834710744	-0.00261705971775287	-0.998571443300743
-1.8763028	4.9150931E-5	0.00406206041322314	-0.00264484385879418	-0.962475251990562
-1.8262867	4.7959722E-5	0.00396361338842975	-0.00251236472810335	-0.949346867016177
-1.7762685	4.5306598E-5	0.00374434694214876	-0.00249457154401281	-0.960512989074857
-1.7262582	4.4959851E-5	0.00371569016528926	-0.00251527248613439	-0.965506405311298
-1.6762607	4.1353303E-5	0.00341762834710744	-0.00247282933608375	-0.959744822794263
-1.6262613	4.0725222E-5	0.00336572082644628	-0.00253866477378795	-0.959680820164992
-1.576245	3.4624437E-5	0.00286152371900827	-0.0026401185545663	-0.958564928247483
-1.5262395	3.6607023E-5	0.00302537380165289	-0.00252701807670268	-0.965120393819848
-1.4762415	3.5297534E-5	0.00291715157024793	-0.00237550089861271	-0.965338083505757
-1.4262281	3.1047906E-5	0.0025659426446281	-0.00246214676079014	-0.959309658787622
-1.3762321	2.9840188E-5	0.00246613123966942	-0.00259028769890774	-0.946488281604307
-1.3262305	2.6848608E-5	0.0022188932231405	-0.00251970389164918	-0.947351924698877
-1.276234	2.5704213E-5	0.00212431512396694	-0.00240661565234544	-0.958611402924654
-1.2262198	2.6415279E-5	0.00218308090909091	-0.00241886451045742	-0.976058074590727
-1.1762126	1.962794E-5	0.00162214380165289	-0.00249837914289849	-0.979473528258896
-1.126212	1.8436466E-5	0.00152367487603306	-0.00259419521248321	-0.970043365664729
-1.0762146	1.675334E-5	0.00138457355371901	-0.00264782634957706	-0.964726678587172
-1.0262058	1.3445498E-5	0.00111119818181818	-0.00252684824849362	-0.968029948386237
-0.97620696	1.5482547E-5	0.00127954933884298	-0.00231370997986705	-0.966075002993048
-0.92603532	1.4696053E-5	0.00121454983471074	-0.00230607774883632	-0.956629231930254
-0.87570068	7.3447259E-6	6.07002140495868E-4	-0.00251798370690785	-0.956758103271124
-0.82569704	5.8354666E-6	4.82269966942149E-4	-0.00262177010872292	-0.977688702601834
-0.7756986	5.415532E-6	4.47564628099174E-4	-0.00252337105056887	-1.01175029086784
-0.72568737	1.1355764E-6	9.38492892561983E-5	-0.00251561808934562	-1.03678559371059
-0.67569039	-4.2850985E-7	-3.54140371900826E-5	-0.00271139380196597	-1.03842279413056
-0.62568495	-5.6982075E-6	-4.70926239669421E-4	-0.00280541514556787	-1.02363852139667
-0.57568725	-5.0904012E-6	-4.20694314049587E-4	-0.00261314290343147	-1.01212523807928
