2theta	Theorical_peaks	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity
deg	a.u.	deg	a.u.	deg	a.u.	deg	a.u.	deg	a.u.	deg	a.u.
2H-WSe2	2H-WSe2	x=0%, d =4%	x=0%, d =4%	x=1.0%, d =1%	x=1.0%, d =1%	x=1.4%, d =9% 	x=1.4%, d =9% 	x=7.6%, d =38%	x=7.6%, d =38%	x=15%, d =21%	x=15%, d =21%
63.36	1	11.38135	0.0127299862986886	11.38135	1.11650084930842	11.38135	2.01676272603282	11.38135	3.03421213044803	10.28	4.13166757493188
65.5	1	11.40765	0.0131067723624975	11.40765	1.11532799482326	11.40765	2.01517884640767	11.40765	3.03261200853398	10.3	4.13119527702089
65.95	1	11.43395	0.0133759052652182	11.43395	1.11565154088813	11.43395	2.01597078622025	11.43395	3.03040231636696	10.32	4.13119527702089
66.2	1	11.46025	0.0131875122333137	11.46025	1.11609641672733	11.46025	2.01539882968894	11.46025	3.03169765315453	10.34	4.13025068119891
67.26	1	11.48655	0.0142640438441965	11.48655	1.11739060098682	11.48655	2.01715869593911	11.48655	3.03238341968912	10.36	4.13119527702089
69.43	1	11.51285	0.0147484830690937	11.51285	1.11577287066246	11.51285	2.01447489990761	11.51285	3.03360256019506	10.38	4.13213987284287
72.07	1	11.53915	0.0138065179095714	11.53915	1.11613685998544	11.53915	2.0149588631264	11.53915	3.03329777506858	10.4	4.13213987284287
72.42	1	11.56545	0.0144255235858289	11.56545	1.11512577853272	11.56545	2.01513484975142	11.56545	3.03131667174642	10.42	4.13025068119891
72.74	1	11.59175	0.0141563906831082	11.59175	1.11569198414624	11.59175	2.01636675612653	11.59175	3.03223102712588	10.44	4.12741689373297
73.5	1	11.61805	0.0153136621648072	11.61805	1.11625818975977	11.61805	2.01667473272031	11.61805	3.0323072234075	10.46	4.13119527702089
76.18	1	11.64435	0.01170728126835	11.64435	1.11694572514762	11.64435	2.0149588631264	11.64435	3.03413593416641	10.48	4.12836148955495
80.71	1	11.67065	0.0136181248776669	11.67065	1.11508533527461	11.67065	2.0160147828765	11.67065	3.03314538250533	10.5	4.12930608537693
81.35	1	11.69695	0.0126761597181444	11.69695	1.11621774650166	11.69695	2.01671872937657	11.69695	3.03573605608046	10.52	4.12930608537693
83.64	1	11.72325	0.0145600900371893	11.72325	1.11540888133948	11.72325	2.01667473272031	11.72325	3.03154526059128	10.54	4.13355676657584
		11.74955	0.014075650812292	11.74955	1.1159346436949	11.74955	2.01619076950152	11.74955	3.03634562633343	10.56	4.13025068119891
		11.77585	0.0137257780387552	11.77585	1.11573242740435	11.77585	2.01799463240794	11.77585	3.03428832672966	10.58	4.13166757493188
		11.80215	0.0129991192014092	11.80215	1.11492356224217	11.80215	2.01500285978266	11.80215	3.03581225236208	10.6	4.12977838328792
		11.82845	0.013295165394402	11.82845	1.11617730324355	11.82845	2.01500285978266	11.82845	3.03352636391344	10.62	4.1307229791099
		11.85475	0.0144255235858289	11.85475	1.11650084930842	11.85475	2.01487086981389	11.85475	3.03276440109723	10.64	4.12977838328792
		11.88105	0.0138334311998434	11.88105	1.11536843808137	11.88105	2.01553081965771	11.88105	3.03101188661993	10.66	4.13025068119891
		11.90735	0.0138334311998434	11.90735	1.11581331392057	11.90735	2.01522284306393	11.90735	3.03070710149345	10.68	4.13213987284287
		11.93365	0.013671951458211	11.93365	1.11520666504894	11.93365	2.01645474943904	11.93365	3.02986894239561	10.7	4.13119527702089
		11.95995	0.0134297318457624	11.95995	1.11589420043679	11.95995	2.01487086981389	11.95995	3.03291679366047	10.72	4.1307229791099
		11.98625	0.0134297318457624	11.98625	1.11601553021111	11.98625	2.01592678956399	11.98625	3.03291679366047	10.74	4.13119527702089
		12.01255	0.0119764141710707	12.01255	1.11577287066246	12.01255	2.01588279290774	12.01255	3.03131667174642	10.76	4.13213987284287
		12.03885	0.012891466040321	12.03885	1.1154897678557	12.03885	2.01597078622025	12.03885	3.02857360560805	10.78	4.12836148955495
		12.06515	0.0135912115873948	12.06515	1.11544932459759	12.06515	2.01592678956399	12.06515	3.03367875647668	10.8	4.13261217075386
		12.09145	0.0127030730084165	12.09145	1.11484267572596	12.09145	2.01597078622025	12.09145	3.02994513867723	10.82	4.13497366030881
		12.11775	0.0132413388138579	12.11775	1.11625818975977	12.11775	2.01557481631396	12.11775	3.0284212130448	10.84	4.12930608537693
		12.14405	0.0143178704247406	12.14405	1.1154897678557	12.14405	2.01685071934533	12.14405	3.03040231636696	10.86	4.13119527702089
		12.17035	0.0154213153258955	12.17035	1.11508533527461	12.17035	2.0170707026266	12.17035	3.02925937214264	10.88	4.13166757493188
		12.19665	0.0127568995889606	12.19665	1.11650084930842	12.19665	2.01654274275155	12.19665	3.02895458701615	10.9	4.13119527702089
		12.22295	0.0146677431982775	12.22295	1.11468090269352	12.22295	2.01720269259536	12.22295	3.02796403535507	10.92	4.12836148955495
		12.24925	0.0154482286161676	12.24925	1.11633907627598	12.24925	2.01689471600158	12.24925	3.02796403535507	10.94	4.13119527702089
		12.27555	0.0126223331376003	12.27555	1.11492356224217	12.27555	2.01614677284526	12.27555	3.03024992380372	10.96	4.13261217075386
		12.30185	0.0147484830690937	12.30185	1.11682439537329	12.30185	2.01641075278279	12.30185	3.02819262419994	10.98	4.13213987284287
		12.32815	0.0143447837150127	12.32815	1.11633907627598	12.32815	2.01636675612653	12.32815	3.0305547089302	11	4.13213987284287
		12.35445	0.0157981013897045	12.35445	1.11633907627598	12.35445	2.01513484975142	12.35445	3.02986894239561	11.02	4.12930608537693
		12.38075	0.0134028185554904	12.38075	1.11605597346922	12.38075	2.01795063575168	12.38075	3.0273544651021	11.04	4.13402906448683
		12.40705	0.0147753963593658	12.40705	1.11512577853272	12.40705	2.01548682300145	12.40705	3.02880219445291	11.06	4.12836148955495
		12.43335	0.0142102172636524	12.43335	1.11512577853272	12.43335	2.01619076950152	12.43335	3.02796403535507	11.08	4.13119527702089
		12.45965	0.0131067723624975	12.45965	1.11702661166384	12.45965	2.01535483303269	12.45965	3.0273544651021	11.1	4.13308446866485
		12.48595	0.0134028185554904	12.48595	1.11710749818005	12.48595	2.01623476615777	12.48595	3.02933556842426	11.12	4.13213987284287
		12.51225	0.0141025641025641	12.51225	1.11569198414624	12.51225	2.01570680628272	12.51225	3.03154526059128	11.14	4.12930608537693
		12.53855	0.0139141710706596	12.53855	1.11480223246785	12.53855	2.0143869065951	12.53855	3.02712587625724	11.16	4.1307229791099
		12.56485	0.0128645527500489	12.56485	1.11411469708	12.56485	2.01632275947028	12.56485	3.02781164279183	11.18	4.1307229791099
		12.59115	0.012084067332159	12.59115	1.11411469708	12.59115	2.01517884640767	12.59115	3.02819262419994	11.2	4.13025068119891
		12.61745	0.0110882755920924	12.61745	1.11553021111381	12.61745	2.01781864578292	12.61745	3.02918317586102	11.22	4.12977838328792
		12.64375	0.0123262869446076	12.64375	1.11629863301788	12.64375	2.01570680628272	12.64375	3.02781164279183	11.24	4.13308446866485
		12.67005	0.0127568995889606	12.67005	1.11544932459759	12.67005	2.01658673940781	12.67005	3.02773544651021	11.26	4.13355676657584
		12.69635	0.0143447837150127	12.69635	1.11524710830705	12.69635	2.01513484975142	12.69635	3.02849740932643	11.28	4.12930608537693
		12.72265	0.0126223331376003	12.72265	1.11427647011243	12.72265	2.01539882968894	12.72265	3.02621152087778	11.3	4.13119527702089
		12.74895	0.0133489919749461	12.74895	1.11553021111381	12.74895	2.01636675612653	12.74895	3.03009753124048	11.32	4.13450136239782
		12.77525	0.012084067332159	12.77525	1.11354849146647	12.77525	2.0154428263452	12.77525	3.02849740932643	11.34	4.13213987284287
		12.80155	0.0120571540418869	12.80155	1.11544932459759	12.80155	2.01517884640767	12.80155	3.02811642791832	11.36	4.12836148955495
		12.82785	0.0125415932667841	12.82785	1.1146000161773	12.82785	2.01531083637644	12.82785	3.02903078329778	11.38	4.13166757493188
		12.85415	0.0133759052652182	12.85415	1.11472134595163	12.85415	2.01808262572045	12.85415	3.03139286802804	11.4	4.13119527702089
		12.88045	0.0128107261695048	12.88045	1.11447868640298	12.88045	2.01742267587663	12.88045	3.03405973788479	11.42	4.13166757493188
		12.90675	0.0138872577803876	12.90675	1.11520666504894	12.90675	2.01720269259536	12.90675	3.03291679366047	11.44	4.13025068119891
		12.93305	0.0126492464278724	12.93305	1.11540888133948	12.93305	2.0175546658454	12.93305	3.03733617799451	11.46	4.12836148955495
		12.95935	0.0152867488745352	12.95935	1.11706705492194	12.95935	2.01777464912667	12.95935	3.03756476683938	11.48	4.13213987284287
		12.98565	0.0157981013897045	12.98565	1.11666262234086	12.98565	2.01724668925162	12.98565	3.03969826272478	11.5	4.13355676657584
		13.01195	0.0160672342924251	13.01195	1.11791636334223	13.01195	2.02010647190814	13.01195	3.04602255409936	11.52	4.13025068119891
		13.03825	0.0173052456449403	13.03825	1.11791636334223	13.03825	2.01971050200185	13.03825	3.06232855836635	11.54	4.13450136239782
		13.06455	0.0218266784106478	13.06455	1.12353797621936	13.06455	2.02045844515817	13.06455	3.08099664736361	11.56	4.13025068119891
		13.09085	0.0234145625366999	13.09085	1.12467038744641	13.09085	2.02261428131462	13.09085	3.11338006705273	11.58	4.13213987284287
		13.11715	0.0272631630456057	13.11715	1.1255196958667	13.11715	2.02345021778345	13.11715	3.15338311490399	11.6	4.13166757493188
		13.14345	0.0322152084556664	13.14345	1.13259726603575	13.14345	2.02758590347134	13.14345	3.20108198719903	11.62	4.12930608537693
		13.16975	0.0365213348991975	13.16975	1.13530696432905	13.16975	2.02965374631528	13.16975	3.26424870466321	11.64	4.13355676657584
		13.19605	0.0458064200430612	13.19605	1.14404270808056	13.19605	2.0362532447534	13.19605	3.3412831453825	11.66	4.13166757493188
