DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
Point2	Point2	Point2
0	42.927	161.488
0.0400001	36.7696	160.316
0.0800002	27.1353	96.6217
0.12	19.4045	122.461
0.16	9.49832	71.4197
0.2	7.0509	0.763768
0.24	13.6356	3.28194
0.28	21.6189	-15.1122
0.32	31.0978	-15.1814
0.36	41.7615	-12.3344
0.4	45.7823	-15.9458
0.44	56.9899	-13.2835
0.48	74.2384	-12.1771
0.52	86.1259	-13.0785
0.56	96.2263	-15.049
0.6	109.376	-13.5251
0.64	111.804	-13.8141
0.68	127.538	-13.3526
0.72	137.114	-13.7535
0.76	145.563	-12.7033
0.8	174.427	-11.9666
0.84	196.279	-13.0785
0.88	208.05	-13.3079
0.92	192.958	-13.4932
0.96	205.603	-20.1309
1	206.185	-21.179
1.04	201.019	-24.7653
1.08	219.025	-26.1314
1.12	238.449	-21.0439
1.16	223.725	-28.393
1.2	215.859	-27.8803
1.24	232.738	-30.2365
1.28	230.077	-31.5517
1.32	229.281	-31.2504
1.36	242.178	-33.7149
1.4	238.857	-32.3183
1.44	228.989	-36.2652
1.48	240.255	-37.7934
1.52	252.822	-35.7067
1.56	223.9	-39.0811
1.6	234.719	-38.878
1.64	215.082	-41.4402
1.68	229.747	-40.9946
1.72	224.696	-39.708
1.76	233.787	-38.034
1.8	230.698	-40.1788
1.84	221.453	-42.4165
1.88	222.463	-40.121
1.92	225.901	-39.4687
1.96	228.387	-42.6324
2	222.268	-43.7711
2	233.981	-45.2675
1.96	241.964	-42.1531
1.92	231.844	-44.0685
1.88	237.458	-40.8676
1.84	244.14	-40.5967
1.8	257.737	-37.7491
1.76	239.09	-39.9887
1.72	241.537	-38.666
1.68	246.432	-38.5369
1.64	241.887	-37.1772
1.6	234.467	-36.0644
1.56	251.521	-34.1141
1.52	232.699	-33.7073
1.48	234.564	-32.8961
1.44	235.71	-32.7104
1.4	244.995	-29.5699
1.36	226.173	-32.6341
1.32	223.92	-31.0385
1.28	217.238	-29.9279
1.24	223.162	-27.65
1.2	234.972	-24.1381
1.16	229.281	-23.0939
1.12	216.461	-24.6488
1.08	220.773	-19.1528
1.04	213.605	-14.3504
1	192.569	-15.1342
0.96	181.206	-14.5936
0.92	182.624	-14.0305
0.88	165.609	-13.794
0.84	148.749	-13.4558
0.8	149.273	-12.8585
0.76	143.99	-12.7439
0.72	133.948	-10.9719
0.68	124.838	-12.2808
0.64	110.367	-12.4809
0.6	100.791	-14.8946
0.56	91.6034	-12.4918
0.52	79.6965	-11.5723
0.48	74.1413	-9.75738
0.44	63.866	-12.9292
0.4	52.1145	-13.1618
0.36	43.7234	-13.1936
0.32	29.3302	-9.48295
0.28	24.8044	-12.2291
0.24	13.8687	0.333864
0.2	8.0221	18.8933
0.16	10.1005	47.3243
0.12	19.9096	106.578
0.0800002	31.7193	149.728
0.0400001	43.1212	154.483
0	51.3764	166.595
-0.0400001	64.2739	164.945
-0.0799999	78.4923	165.625
-0.12	86.5726	164.983
-0.16	104.792	169.342
-0.2	113.397	167.209
-0.24	122.352	168.284
-0.28	136.22	167.786
-0.32	143.893	166.401
-0.36	163.686	168.259
-0.4	166.735	167.729
-0.44	186.004	168.085
-0.48	207.759	166.96
-0.52	218.073	167.559
-0.56	226.076	163.934
-0.6	241.537	158.632
-0.64	251.055	157.904
-0.68	253.599	155.719
-0.72	248.86	154.433
-0.76	270.945	155.31
-0.8	273.664	155.771
-0.84	258.125	153.428
-0.88	258.358	151.846
-0.92	264.885	152.218
-0.96	265.079	150.34
-1	269.935	148.59
-1.04	264.38	150.057
-1.08	265.778	147.696
-1.12	268.284	146.098
-1.16	263.35	148.694
-1.2	271.178	147.103
-1.24	272.421	145.317
-1.28	271.838	143.46
-1.32	262.126	145.239
-1.36	284.6	145.803
-1.4	285.532	145.384
-1.44	274.597	141.151
-1.48	277.821	140.727
-1.52	281.22	140.985
-1.56	258.183	138.943
-1.6	270.479	137.702
-1.64	271.275	139.489
-1.68	267.623	138.504
-1.72	262.787	137.174
-1.76	253.172	135.175
-1.8	260.106	136.559
-1.84	268.575	137.847
-1.88	272.052	138.999
-1.92	270.751	137.65
-1.96	275.335	137.115
-2	292.156	140.908
-2	292.972	137.476
-1.96	276.966	136.244
-1.92	284.853	138.826
-1.88	274.208	137.704
-1.84	287.611	140.414
-1.8	283.007	138.7
-1.76	270.77	138.659
-1.72	274.616	139.889
-1.68	282.405	140.106
-1.64	258.902	138.507
-1.6	273.295	142.081
-1.56	267.662	139.931
-1.52	265.972	141.867
-1.48	248.53	141.015
-1.44	261.971	142.351
-1.4	258.397	142.624
-1.36	270.071	143.971
-1.32	263.35	143.856
-1.28	259.135	145.186
-1.24	247.928	144.797
-1.2	245.364	142.995
-1.16	255.911	144.108
-1.12	252.473	143.603
-1.08	243.984	146.022
-1.04	246.335	145.722
-1	242.994	146.243
-0.96	233.01	145.991
-0.92	239.517	149.463
-0.88	242.139	153.256
-0.84	244.723	151.911
-0.8	239.498	154.111
-0.76	234.428	157.699
-0.72	224.133	157.273
-0.68	219.199	159.842
-0.64	216.888	164.601
-0.6	202.806	165.388
-0.56	193.599	165.165
-0.52	180.293	165.593
-0.48	173.223	166.022
-0.44	160.481	165.677
-0.4	148.535	166.093
-0.36	138.26	165.174
-0.32	129.752	166.371
-0.28	122.099	164.222
-0.24	116.913	166.284
-0.2	100.325	165.496
-0.16	87.0582	164.989
-0.12	78.5699	165.935
-0.0799999	65.0314	163.054
-0.0400001	59.9812	166.541
