H	M	M_over_mass	M/Ms
Oe	emu	emu/g	-
x=0%, d =8.7% - short after synthesis	x=0%, d =8.7% - short after synthesis	x=0%, d =8.7% - short after synthesis	x=0%, d =8.7% - short after synthesis
508.41444	-1.7946539E-8	9.21176538752831E-5	0.64222896572913
545.91452	-3.9793637E-7	8.16221474973702E-5	0.569056040428445
583.41345	4.108076E-7	5.9161338667583E-5	0.41246301599337
620.91513	-9.5056227E-7	5.82108019147967E-5	0.40583603180578
658.41302	-3.517941E-7	4.40640480748778E-5	0.307207216320135
695.91176	-3.2376375E-7	-1.39235297366724E-5	-0.0970725341549456
733.49765	-1.1359793E-6	1.67154472136823E-5	0.116537318571717
771.28762	-1.2692422E-6	3.31935888043611E-5	0.23142018179843
808.79756	8.6120269E-7	8.07938881457998E-5	0.563281553950155
846.29935	1.3387305E-7	1.24915529483186E-4	0.870890300920037
883.79046	3.4803124E-7	1.04029503242051E-4	0.725276398842201
921.29879	-4.004552E-7	6.71211153494472E-5	0.467957255487893
958.79397	-7.7751416E-7	5.37246134750804E-5	0.374559071956088
996.28913	3.6938385E-7	5.74404516209771E-5	0.400465277649158
1033.794	-5.9725545E-7	6.81069042552223E-5	0.474830011824483
1071.2969	1.9911561E-7	9.82743102835911E-5	0.685152150494674
1108.7946	-3.2692062E-7	7.535592968582E-5	0.525369011777087
1146.2974	4.6071382E-7	8.09391632724462E-5	0.564294387977155
1183.7983	-9.286794E-7	3.83010554710278E-5	0.267028590141855
1221.2964	-4.3669233E-7	1.80592534446853E-5	0.125906112169586
1258.797	-1.0781488E-6	6.48410795329726E-6	0.0452061224893992
1296.2953	-4.4138941E-7	4.2167430496357E-5	0.293984313927439
1333.7913	-1.514909E-7	5.90192487840977E-5	0.411472388952055
1371.2936	-3.0475881E-7	2.36740393231048E-5	0.165051465701602
1408.8003	-7.552468E-7	1.92047127694703E-5	0.133892064117922
1446.2966	-2.0833058E-6	1.09520550581887E-5	0.0763559067858146
1483.7133	-8.4326962E-9	-1.08393381066663E-6	-0.0075570062942088
