H	M	M_over_mass	M_without_diamagnetism	M/Ms
Oe	emu	emu/g	emu/g	-
x=0%, d =8.7% -  after 15 days in soft vacuum	x=0%, d =8.7% -  after 15 days in soft vacuum	x=0%, d =8.7% -  after 15 days in soft vacuum	x=0%, d =8.7% -  after 15 days in soft vacuum	x=0%, d =8.7% -  after 15 days in soft vacuum
1221.7327	-3.491481E-6	-3.4931001319564E-4	1.33048102310936E-4	0.623357541239333
1206.6895	-2.7056776E-6	-3.61512846242111E-4	1.14396580559106E-4	0.535971351300142
1191.6526	-3.0054682E-6	-3.70655364888124E-4	9.8806770043134E-5	0.462929904012812
1176.6166	-2.9579826E-6	-3.58886705106139E-4	1.04126081503045E-4	0.487851964945237
1161.576	-3.3960499E-6	-3.75738205393001E-4	8.08249490342849E-5	0.378681398875279
1146.5344	-2.7425519E-6	-3.55075866896156E-4	9.50374082482319E-5	0.445269673917832
1131.4936	-2.9613803E-6	-3.32976487664945E-4	1.10686364982779E-4	0.51858823332284
1116.4576	-2.4867887E-6	-3.45933650028686E-4	9.12800789342362E-5	0.42766581845415
1101.415	-2.8880492E-6	-3.46116485370052E-4	8.46478462590287E-5	0.39659245339643
1086.3822	-3.502118E-6	-3.3598262248996E-4	8.83317788022975E-5	0.413852429994194
1071.3348	-2.0748863E-6	-3.34308602983362E-4	8.35552451141829E-5	0.391473393812892
1056.2951	-2.7226886E-6	-3.225008973035E-4	8.89142232877042E-5	0.416581301402544
1041.2571	-2.7181696E-6	-3.03907998852553E-4	1.01060905268575E-4	0.473490988066971
1026.2236	-2.7240666E-6	-3.20307168100975E-4	7.82072151185761E-5	0.366416780673498
1011.1617	-2.2538523E-6	-2.90299224899598E-4	1.01744133930675E-4	0.476692053933475
996.00657	-2.359267E-6	-2.6627969535284E-4	1.19283770817102E-4	0.558868836118629
980.87672	-2.0835762E-6	-2.77017063109581E-4	1.0206495162158E-4	0.478195150358864
965.81812	-2.3188365E-6	-2.93395701090075E-4	7.92132720091084E-5	0.371130362744466
