Raman schift	Intensity	Normalized Y1	I
cm-1	Counts		a.u
x=15%, d =21%	x=15%, d =21%	x=15%, d =21%	x=15%, d =21%
70.4567	247.175705882353	0.121985303111756	3.62198530311176
72.5661	245.284142296919	0.105458457519342	3.60545845751934
74.675	247.213578711485	0.122316203116401	3.6223162031164
76.7791	243.27801512605	0.0879306544642422	3.58793065446424
78.8871	244.654451540616	0.0999567646444529	3.59995676464445
80.9924	243.375887955182	0.0887857825430482	3.58878578254305
83.0973	239.953324369748	0.0588823839249643	3.55888238392496
85.1996	244.346	0.0972617820259668	3.59726178202597
87.3035	250.045760784314	0.1470613590116	3.6470613590116
89.4048	251.14719719888	0.15668475718524	3.65668475718524
91.5056	252.75	0.170688660946756	3.67068866094675
93.6039	250.663633613445	0.152459797066466	3.65245979706647
95.7059	252.503070028011	0.168531200552284	3.66853120055228
97.8032	254.723506442577	0.187931452309024	3.68793145230902
99.9001	252.344942857143	0.167149622181338	3.66714962218134
101.996	255.262379271709	0.192639656732912	3.69263965673291
104.092	257.506	0.212242472958569	3.71224247295857
106.186	256.071	0.199704684851556	3.69970468485156
108.281	252.779	0.170942037849267	3.67094203784927
110.373	255.072	0.190976287416779	3.69097628741678
112.465	258.35	0.219616614535097	3.7196166145351
114.556	261.538	0.247470599542174	3.74747059954217
116.645	266.045	0.286848865046219	3.78684886504622
118.735	265.227	0.279701888968494	3.77970188896849
120.823	266.775	0.293226973281842	3.79322697328184
122.911	268.714	0.310168277211805	3.81016827721181
124.996	270.753	0.327983294598703	3.8279832945987
127.082	263.735	0.266666084191029	3.76666608419103
129.168	259.184	0.226903384765932	3.72690338476593
131.252	255.196	0.192059692103378	3.69205969210338
133.335	248.565	0.13412375277404	3.63412375277404
135.417	252.739	0.170592552466493	3.67059255246649
137.497	259.577	0.230337078651685	3.73033707865169
139.579	257.786	0.214688870637986	3.71468887063799
141.657	251.938	0.163594107676447	3.66359410767645
143.736	250.348	0.149702063711185	3.64970206371118
145.812	245.198	0.10470582067905	3.60470582067905
147.892	240.455	0.0632655914166394	3.56326559141664
149.967	240.223	0.0612385761965507	3.56123857619655
152.041	239.87	0.0581543676935713	3.55815436769357
154.115	241.067	0.0686127177730792	3.56861271777308
156.189	241.817	0.0751655687000892	3.57516556870009
158.258	239.762	0.0572107571600818	3.55721075716008
160.331	241.297	0.0706222587240291	3.57062225872403
162.401	239.84	0.0578922536564911	3.55789225365649
164.47	240.002	0.0593076694567251	3.55930766945672
166.537	237.414	0.0366959651912558	3.53669596519126
168.606	235.421	0.019282855994548	3.51928285599455
170.675	233.798	0.00510248658849846	3.5051024865885
172.74	235.25	0.0177888059831898	3.51778880598319
174.805	233.226	1.04845614832164E-4	3.50010484561483
176.868	242.656	0.082496024603771	3.58249602460377
178.93	233.946	0.00639558250476198	3.50639558250476
180.994	233.214	0	3.5
183.056	234.888	0.0146259632690866	3.51462596326909
185.116	237.355	0.0361804742516646	3.53618047425166
187.175	243.334	0.088419801841788	3.58841980184179
189.233	247.129	0.121577227532459	3.62157722753246
191.294	246.153	0.113049784192776	3.61304978419278
193.347	247.106	0.121376273437363	3.62137627343736
195.403	244.548	0.0990266832089748	3.59902668320897
197.459	242.897	0.0846016740349834	3.58460167403498
199.515	241.175	0.0695563283065687	3.56955632830657
201.568	242.586	0.0818844251839168	3.58188442518392
203.621	241.632	0.07354919880476	3.57354919880476
205.671	245.057	0.103473884704772	3.60347388470477
207.724	246.737	0.118152270781275	3.61815227078127
209.773	246.725	0.118047425166442	3.61804742516644
211.822	252.574	0.169150925262551	3.66915092526255
213.87	250.722	0.152969752040121	3.65296975204012
215.918	254.432	0.185384521292397	3.6853845212924
217.963	253.231	0.174891222674612	3.67489122267461
220.01	252.996	0.172837996050816	3.67283799605082
222.054	256.574	0.204099463539938	3.70409946353994
224.096	260.261	0.236313278697118	3.73631327869712
226.139	269.033	0.312955423139427	3.81295542313943
228.182	272.768	0.345588620755937	3.84558862075594
230.223	279.898	0.407884390235378	3.90788439023538
232.262	289.476	0.49156866514058	3.99156866514058
234.302	304.169	0.61994338336799	4.11994338336799
236.339	329.143	0.838144582102854	4.33814458210285
238.377	347.668	1	4.5
240.411	346.371	0.988667936463558	4.48866793646356
242.449	341.803	0.948756705750781	4.44875670575078
244.484	338.1	0.916403096440491	4.41640309644049
246.517	314.64	0.711429919443619	4.21142991944362
248.549	305.52	0.631747252171178	4.13174725217118
250.581	336.51	0.90251105247523	4.40251105247523
252.612	337.509	0.911239449910008	4.41123944991001
254.643	303.22	0.611651842661681	4.11165184266168
256.673	275.36	0.368235273559683	3.86823527355968
258.701	263.341	0.263223653170706	3.76322365317071
260.728	254.616	0.186992154053157	3.68699215405316
262.753	251.033	0.155687000891187	3.65568700089119
264.782	248.121	0.13024446502525	3.63024446502525
266.806	248.186	0.130812378772258	3.63081237877226
268.829	243.967	0.0939504080241843	3.59395040802418
270.852	242.657	0.0825047617383401	3.58250476173834
272.875	242.197	0.0784856798364409	3.57848567983644
274.893	242.241	0.078870113757492	3.57887011375749
276.915	245.004	0.103010816572597	3.6030108165726
278.936	240.114	0.0602862285284916	3.56028622852849
280.953	239.171	0.0520471106295979	3.5520471106296
282.971	234.421	0.0105457214252013	3.5105457214252
284.987	239.526	0.0551487934017161	3.55514879340172
287.002	240.625	0.0647509042934279	3.56475090429343
289.017	236.712	0.0305624967235745	3.53056249672357
291.032	238.793	0.048744473762385	3.54874447376238
293.044	237.738	0.0395267967917242	3.53952679679172
295.057	241.092	0.0688311461373127	3.56883114613731
