Raman schift	Intensity	Normalized Y1	Intensity
cm-1	Counts		a.u.
x=7.6%, d =38%	x=7.6%, d =38%	x=7.6%, d =38%	x=7.6%, d =38%
70.4567	247.895	0.15114956022323	2.70114956022323
72.5661	245.895	0.11502826491358	2.66502826491358
74.675	247.211	0.138796077227329	2.68879607722733
76.7791	249.105	0.173002943885567	2.72300294388557
78.8871	247.789	0.149235131571818	2.69923513157182
80.9924	247.684	0.147338763568061	2.69733876356806
83.0973	250.316	0.194874388195561	2.74487438819556
85.1996	252	0.225288518846286	2.77528851884629
87.3035	253.474	0.251909913489497	2.8019099134895
89.4048	251.632	0.21864220050931	2.76864220050931
91.5056	255.895	0.295634741461829	2.84563474146183
93.6039	258.211	0.337463201430404	2.8874632014304
95.7059	257.895	0.331756036771478	2.88175603677148
97.8032	259.263	0.356463002763279	2.90646300276328
99.9001	255.474	0.288031208799147	2.83803120879915
101.996	256.421	0.305134642128267	2.85513464212827
104.092	261.789	0.402084198739367	2.95208419873937
106.186	257.632	0.32700608643826	2.87700608643826
108.281	258.895	0.349816684426303	2.8998166844263
110.373	258.789	0.347902255774892	2.89790225577489
112.465	261.421	0.395437880402391	2.94543788040239
114.556	259.947	0.368816485759179	2.91881648575918
116.645	263.789	0.438205494049016	2.98820549404902
118.735	265.526	0.469576839025448	3.01957683902545
120.823	266.947	0.495241019342954	3.04524101934295
122.911	266.895	0.494301865664903	3.0443018656649
124.996	267.947	0.513301666997779	3.06330166699778
127.082	262.421	0.413498528057216	2.96349852805722
129.168	258.737	0.346963102096842	2.89696310209684
131.252	259.316	0.357420217088984	2.90742021708898
133.335	258.842	0.348859470100598	2.8988594701006
135.417	258.579	0.344109519767379	2.89410951976738
137.497	263.316	0.429662807708284	2.97966280770828
139.579	259.105	0.353609420433817	2.90360942043382
141.657	258.789	0.347902255774892	2.89790225577489
143.736	255.737	0.292781159132366	2.84278115913237
145.812	252.632	0.236702848164135	2.78670284816414
147.892	257.579	0.326048872112554	2.87604887211255
149.967	253.105	0.245245534504867	2.79524553450487
152.041	255.526	0.288970362477199	2.8389703624772
154.115	256.368	0.304177427802561	2.85417742780256
156.189	253.211	0.247159963156279	2.79715996315628
158.258	252.474	0.233849265834673	2.78384926583467
160.331	252.211	0.229099315501454	2.77909931550145
162.401	252.421	0.232892051508967	2.78289205150897
164.47	256.632	0.308945438783435	2.85894543878344
166.537	254.684	0.273763297151836	2.82376329715184
168.606	252.632	0.236702848164135	2.78670284816414
170.675	253	0.243349166501111	2.79334916650111
172.74	250.158	0.192020805866098	2.7420208058661
174.805	251.684	0.219581354187361	2.76958135418736
176.868	257.842	0.330798822445773	2.88079882244577
178.93	251.579	0.217684986183605	2.76768498618361
180.994	251.316	0.212935035850386	2.76293503585039
183.056	255	0.279470461810761	2.82947046181076
185.116	255.421	0.287073994473442	2.83707399447344
187.175	257.263	0.320341707453629	2.87034170745363
189.233	256.474	0.306091856453972	2.85609185645397
191.294	257.263	0.320341707453629	2.87034170745363
193.347	258.526	0.343152305441673	2.89315230544167
195.403	255.579	0.289927576802904	2.8399275768029
197.459	256.947	0.314634542794705	2.86463454279471
199.515	255.316	0.285177626469685	2.83517762646969
201.568	256.263	0.302281059798804	2.8522810597988
203.621	255.105	0.281366829814517	2.83136682981452
205.671	255.368	0.286116780147736	2.83611678014774
207.724	257.158	0.318445339449873	2.86844533944987
209.773	256.053	0.298488323791291	2.84848832379129
211.822	259.421	0.359316585092741	2.90931658509274
213.87	258.579	0.344109519767379	2.89410951976738
215.918	259.526	0.361212953096498	2.9112129530965
217.963	259.316	0.357420217088984	2.90742021708898
220.01	260.895	0.385937979735953	2.93593797973595
222.054	262.053	0.406852209720241	2.95685220972024
224.096	262.263	0.410644945727753	2.96064494572775
226.139	265.632	0.471491267676859	3.02149126767686
228.182	265.79	0.474344850006322	3.02434485000632
230.223	266.947	0.495241019342954	3.04524101934295
232.262	272.421	0.594105004605465	3.14410500460547
234.302	279.789	0.727175856526215	3.27717585652622
236.339	289.211	0.897343278729976	3.44734327872998
238.377	294.895	1	3.55
240.411	290.947	0.928696563058752	3.47869656305875
242.449	288.947	0.892575267749102	3.4425752677491
244.484	281.579	0.759504415828352	3.30950441582835
246.517	274.053	0.62357998157814	3.17357998157814
248.549	280.211	0.734797449836552	3.28479744983655
250.581	290.842	0.926800195054995	3.47680019505499
252.612	279.842	0.728133070851921	3.27813307085192
254.643	268.158	0.517112463652947	3.06711246365295
256.673	258.842	0.348859470100598	2.8988594701006
258.701	256.947	0.314634542794705	2.86463454279471
260.728	253.421	0.250952699163792	2.80095269916379
262.753	252.316	0.23099568350521	2.78099568350521
264.782	251.684	0.219581354187361	2.76958135418736
266.806	251.895	0.223392150842529	2.77339215084253
268.829	250.105	0.191063591540392	2.74106359154039
270.852	250.263	0.193917173869855	2.74391717386986
272.875	252.895	0.241452798497354	2.79145279849735
274.893	250.579	0.19962433852878	2.74962433852878
276.915	252.737	0.238599216167892	2.78859921616789
278.936	251.316	0.212935035850386	2.76293503585039
280.953	247.474	0.143546027560548	2.69354602756055
282.971	248.895	0.169210207878055	2.71921020787805
284.987	249.105	0.173002943885567	2.72300294388557
287.002	251.158	0.210081453520923	2.76008145352092
289.017	248.474	0.161606675215373	2.71160667521537
291.032	248.632	0.164460257544836	2.71446025754484
293.044	248.526	0.162545828893424	2.71254582889342
295.057	248.421	0.160649460889667	2.71064946088967
297.068	250	0.189167223536636	2.73916722353664
299.079	251.211	0.211038667846629	2.76103866784663
301.087	249.368	0.177752894218787	2.72775289421879
