H	M	M_over_mass	M_without_diamagnetism
Oe	emu	emu/g	emu/g
x=1.4% at 300K	x=1.4% at 300K	x=1.4% at 300K	x=1.4% at 300K
0.99678547	1.6128701E-5	0.00146624554545455	0.00585644883314032
0.99179975	1.6813118E-5	0.00152846527272727	0.00582599259082281
0.9868186	1.9777948E-5	0.00179799527272727	0.00583557562408017
0.98183504	1.5865517E-5	0.00144231972727273	0.00585515981190511
0.97684688	1.7863016E-5	0.00162391054545455	0.00586248021297248
0.97177836	1.9220803E-5	0.00174734572727273	0.00587221981012083
0.96676784	1.8746406E-5	0.00170421872727273	0.00593884353908559
0.96176456	1.9964202E-5	0.00181492745454545	0.00595445686947951
0.95678318	2.1266436E-5	0.00193331236363636	0.00596381902982227
0.95180133	1.9028558E-5	0.00172986890909091	0.0059820274184457
0.94682322	2.0941676E-5	0.00190378872727273	0.00595310282397564
0.94183633	2.1437632E-5	0.00194887563636364	0.00593720726940668
0.93685718	1.8678879E-5	0.00169807990909091	0.00600360646875686
0.93187851	2.1580118E-5	0.00196182890909091	0.00603569439159085
0.92689918	2.5736918E-5	0.00233971981818182	0.00606698063408107
0.92191886	2.1679465E-5	0.00197086045454546	0.00615274320048403
0.91693504	2.2641699E-5	0.00205833627272727	0.00617080251859577
0.91195732	2.6883946E-5	0.00244399509090909	0.00614516700840277
0.90697193	2.351707E-5	0.00213791545454545	0.00613931272740151
0.9019952	2.3239042E-5	0.00211264018181818	0.00610501457819572
0.89701052	2.2970725E-5	0.00208824772727273	0.00603983569157751
0.89203939	2.3830996E-5	0.00216645418181818	0.00602551956295235
0.88705872	2.3156954E-5	0.00210517763636364	0.00604307080348102
0.88207202	2.3718565E-5	0.00215623318181818	0.00606156882495782
0.87709191	2.5703418E-5	0.00233667436363636	0.00608632475862941
0.87210569	2.4586412E-5	0.00223512836363636	0.00607766091217856
0.86708355	2.5911971E-5	0.00235563372727273	0.00608143008570913
0.86210328	2.2827486E-5	0.002075226	0.0060504338093506
0.85711673	2.6899504E-5	0.00244540945454546	0.00602385222793025
0.85213572	2.3976085E-5	0.00217964409090909	0.00602930166472131
0.84715482	2.4315826E-5	0.00221052963636364	0.00607005814129143
0.84217677	2.7450483E-5	0.00249549845454546	0.00607302541107925
0.83719838	2.699413E-5	0.00245401181818182	0.00611890434405093
0.83221045	2.611715E-5	0.00237428636363636	0.00617146221325086
0.82720821	2.7947238E-5	0.002540658	0.00616180493485126
0.82221456	2.9669269E-5	0.00269720627272727	0.00617932965090477
0.81722216	2.6165899E-5	0.00237871809090909	0.00616958620098776
0.81223763	2.9400383E-5	0.00267276209090909	0.00614727064011963
0.80726405	2.6625143E-5	0.00242046754545455	0.00610542537073391
0.80228492	2.8836491E-5	0.00262149918181818	0.00612092757445788
0.79730056	2.6827127E-5	0.00243882972727273	0.00615442377165813
0.79232324	2.9887859E-5	0.00271707809090909	0.00618266737740002
0.78734037	3.1850461E-5	0.00289549645454546	0.00618137544642872
0.78235912	2.7806423E-5	0.00252785663636364	0.00615710294268547
0.77738202	2.9183797E-5	0.00265307245454545	0.00612528049023179
0.77239989	2.7616173E-5	0.00251056118181818	0.00611384109302428
0.76741523	3.1129706E-5	0.00282997327272727	0.0061701842031486
0.76243803	3.0716104E-5	0.00279237309090909	0.00615268953744671
0.7574556	3.1949724E-5	0.00290452036363636	0.00621111744657046
0.75247358	2.674649E-5	0.00243149909090909	0.00623075508007697
0.74749739	3.5925199E-5	0.00326592718181818	0.00628816330304632
0.74251509	3.198374E-5	0.00290761272727273	0.00629016668058352
0.73753575	3.4707223E-5	0.00315520209090909	0.00631778900490611
0.73255776	2.9542414E-5	0.002685674	0.00623234393501474
0.72757763	3.3584929E-5	0.00305317536363636	0.00619456243155185
0.72259494	3.0844943E-5	0.00280408572727273	0.00616258161223213
0.71760676	3.2010527E-5	0.00291004790909091	0.00619318634066108
0.71262805	3.2739157E-5	0.002976287	0.00617377182863227
0.70765306	3.3600486E-5	0.00305458963636364	0.00617335118836147
0.7026709	3.1718018E-5	0.00288345618181818	0.00613188473138421
0.69768668	3.2242766E-5	0.00293116054545455	0.00610970767041755
0.6927114	3.0918501E-5	0.00281077281818182	0.00607535651587243
0.68773472	3.3962248E-5	0.00308747709090909	0.00609128442853475
0.68274818	3.13006E-5	0.00284550909090909	0.00611243841290995
0.67776901	3.4327787E-5	0.00312070790909091	0.00616441672762295
0.6727889	3.3785069E-5	0.00307136990909091	0.00618581059537765
0.66781374	3.5848476E-5	0.00325895236363636	0.00622438437573962
0.66282289	3.4416478E-5	0.00312877072727273	0.0062495349642141
0.65784595	3.5231863E-5	0.00320289663636364	0.00627477833403945
0.65286536	3.7109653E-5	0.00337360481818182	0.00627555368412272
0.64788438	3.6236156E-5	0.003294196	0.0062899773026165
0.64290575	3.5867838E-5	0.00326071254545455	0.00628605574438664
0.63791851	3.6747126E-5	0.00334064781818182	0.00626384038693073
0.63294237	3.6648134E-5	0.00333164854545455	0.00621839328981632
0.62796138	3.6402966E-5	0.00330936054545455	0.00620398501823375
0.62298272	3.386236E-5	0.00307839636363636	0.00621041761849694
0.61800008	3.7965152E-5	0.00345137745454545	0.00620304158090523
0.61302538	3.8386841E-5	0.00348971281818182	0.00622636186582832
0.60802658	3.5496585E-5	0.00322696227272727	0.00628306805098175
0.60301269	3.8562949E-5	0.00350572263636364	0.00627702876008313
0.59870193	3.9849877E-5	0.00362271609090909	0.00628586263567975
0.59496918	3.7341192E-5	0.00339465381818182	0.00626082223040706
0.5912375	3.8950948E-5	0.00354099527272727	0.00619752105273612
0.58750042	3.5000069E-5	0.00318182445454545	0.006148564677828
0.58376559	3.7370807E-5	0.00339734609090909	0.00615780185731051
0.58002705	3.7922645E-5	0.00344751318181818	0.00618937238195856
0.576294	3.9265479E-5	0.003569589	0.00619721407827627
0.57255733	3.9782561E-5	0.00361659645454545	0.00616622787695649
0.56878015	3.49603E-5	0.00317820909090909	0.006139399328841
0.56505274	3.7731563E-5	0.00343014209090909	0.00612614027601539
0.5612938	3.8815044E-5	0.00352864036363636	0.00611818114248555
0.55753752	3.9345762E-5	0.00357688745454545	0.00611434194374699
0.55377139	3.7397401E-5	0.00339976372727273	0.00612523737873979
0.55002911	3.5834211E-5	0.00325765554545455	0.00613775676357769
0.54629819	4.1823579E-5	0.00380214354545455	0.00614901279624609
0.54256385	3.9678214E-5	0.00360711036363636	0.00617813468707686
0.53882499	3.8717811E-5	0.003519801	0.0061753252550888
0.53509087	3.9408955E-5	0.00358263227272727	0.00607280759555245
0.53135646	3.8328741E-5	0.003484431	0.00600766008772466
0.52762055	3.5671391E-5	0.00324285372727273	0.00593366628448897
0.52388646	3.7775882E-5	0.00343417109090909	0.00586423738264324
0.52014676	3.5601767E-5	0.00323652427272727	0.00583975653955163
0.5164192	3.6348239E-5	0.00330438536363636	0.00587328950105972
