H	M	M_over_mass	M_without_diamagnetism
Oe	emu	emu/g	emu/g
x=7.6% at 80K	x=7.6% at 80K	x=7.6% at 80K	x=7.6% at 80K
1.9970942	-1.0711094E-4	-0.0153015628571429	0.0129274165215815
1.9933799	-1.0759992E-4	-0.0153714171428571	0.0128835570227026
1.9896763	-1.0633748E-4	-0.0151910685714286	0.0129057351778583
1.9859749	-1.0592454E-4	-0.0151320771428571	0.0129011157666201
1.9822521	-1.0538502E-4	-0.0150550028571429	0.0128682313964541
1.978545	-1.061004E-4	-0.0151572	0.0128168105807645
1.9748426	-1.0681355E-4	-0.0152590785714286	0.0127930437108217
1.9711185	-1.0553093E-4	-0.0150758471428571	0.0127259627366532
1.9674126	-1.0420881E-4	-0.0148869728571429	0.01263525122271
1.9637069	-1.0741471E-4	-0.0153449585714286	0.0126369523954152
1.9599919	-1.077996E-4	-0.0153999428571429	0.0126847387765293
1.9562748	-1.0207748E-4	-0.0145824971428571	0.0127926929401249
1.9525649	-1.0174146E-4	-0.0145344942857143	0.012902209715352
1.9488576	-1.0081723E-4	-0.0144024614285714	0.0129629646398026
1.9451358	-1.0365379E-4	-0.0148076842857143	0.0129058196253296
1.9414408	-1.0141225E-4	-0.0144874642857143	0.0128637499287853
1.9377352	-1.0186017E-4	-0.0145514528571429	0.0127318647079909
1.9340152	-1.0097741E-4	-0.0144253442857143	0.0127114651602048
1.9303106	-1.0614801E-4	-0.0151640014285714	0.0126966963661822
1.9265859	-9.9339447E-5	-0.0141913495714286	0.0127038417202376
1.9228803	-9.9963282E-5	-0.0142804688571429	0.0126498692952536
1.9191669	-1.0082896E-4	-0.0144041371428571	0.0126370130059301
1.915459	-1.0403853E-4	-0.0148626471428571	0.012671268670531
1.9117444	-1.0113504E-4	-0.0144478628571429	0.0127121363897993
1.9080356	-9.3666791E-5	-0.0133809701428571	0.0127497344764369
1.9043208	-1.0018881E-4	-0.0143126871428571	0.0127906906982659
1.9006182	-1.0014098E-4	-0.0143058542857143	0.0127383897256426
1.8968994	-9.8674052E-5	-0.0140962931428571	0.0127166278516892
1.89319	-9.8053509E-5	-0.0140076441428571	0.0127716202733862
1.8894742	-9.3657487E-5	-0.013379641	0.0128126115299029
1.8857721	-9.8858863E-5	-0.0141226947142857	0.0127964897902495
1.8820555	-9.6250667E-5	-0.0137500952857143	0.0127992246046585
1.8783488	-9.6856461E-5	-0.0138366372857143	0.0127292760120577
1.874631	-9.3872176E-5	-0.0134103108571429	0.0127725141417921
1.8709354	-9.7307541E-5	-0.0139010772857143	0.0128167868229247
1.867216	-9.4053941E-5	-0.0134362772857143	0.0127959649672983
1.8635069	-9.2427199E-5	-0.0132038855714286	0.0126786738136699
1.859804	-9.6746327E-5	-0.0138209038571429	0.0127605379520934
1.8560809	-9.7632631E-5	-0.0139475187142857	0.0128084154921048
1.8523721	-8.7634824E-5	-0.0125192605714286	0.0128369738915375
1.848657	-9.1755816E-5	-0.0131079737142857	0.0129786761489251
1.844946	-9.3370767E-5	-0.013338681	0.0130125452477345
1.8412291	-8.8884082E-5	-0.012697726	0.0128664519803077
1.8375282	-9.2250598E-5	-0.0131786568571429	0.0127950161769688
1.8338172	-9.2744484E-5	-0.013249212	0.0128411953427679
1.8301109	-9.2310483E-5	-0.0131872118571429	0.0128127580080634
1.826394	-8.6305057E-5	-0.0123292938571429	0.0129097033281155
1.8226867	-9.1283419E-5	-0.0130404884285714	0.0130602683622786
1.818969	-8.6928081E-5	-0.0124182972857143	0.0131172947228424
1.8152566	-8.4950001E-5	-0.0121357144285714	0.0131341504127576
1.811559	-8.8550678E-5	-0.0126500968571429	0.0131613627415842
1.8078396	-8.4865221E-5	-0.012123603	0.0130990267958877
1.804125	-8.7817881E-5	-0.0125454115714286	0.012983124959782
1.8004314	-8.635107E-5	-0.0123358671428571	0.0129390958821145
1.7967056	-8.8709564E-5	-0.0126727948571429	0.012822253131262
1.7929989	-8.6045108E-5	-0.0122921582857143	0.0127884257914644
1.7892784	-8.8532444E-5	-0.012647492	0.0127546366507996
1.7855798	-8.6049826E-5	-0.0122928322857143	0.0128099512302264
1.7818651	-8.6454683E-5	-0.012350669	0.0128705992378041
1.7781549	-8.3601046E-5	-0.0119430065714286	0.012897985493935
1.7744333	-8.3301123E-5	-0.0119001604285714	0.012887911665844
1.7707299	-8.6760795E-5	-0.0123943992857143	0.0128294523452545
1.7670121	-8.376859E-5	-0.0119669414285714	0.0127013707827581
1.7633169	-8.5877453E-5	-0.0122682075714286	0.0126521032710751
1.7595884	-8.6279865E-5	-0.012325695	0.0126371641893768
1.7558834	-8.2932814E-5	-0.0118475448571429	0.0126068057342334
1.7521731	-8.5263991E-5	-0.0121805701428571	0.0125971759084961
1.7484554	-8.3643405E-5	-0.0119490578571429	0.0126440797202489
1.7447546	-8.48147E-5	-0.0121163857142857	0.0127139065165809
1.7410337	-8.052719E-5	-0.0115038842857143	0.0127843947206658
1.7373308	-7.9469659E-5	-0.0113528084285714	0.0128955120274167
1.7336036	-8.2521127E-5	-0.0117887324285714	0.0129855638166386
1.7298759	-7.7133347E-5	-0.0110190495714286	0.0129999487614418
1.7261597	-7.9172732E-5	-0.0113103902857143	0.0130100206132326
1.7224502	-7.8422936E-5	-0.0112032765714286	0.0130640101964156
1.7187339	-7.8372023E-5	-0.0111960032857143	0.0130219530928612
1.715023	-7.6629735E-5	-0.010947105	0.0130059349105006
1.7113116	-7.8079318E-5	-0.0111541882857143	0.0129084615854998
1.7075837	-7.7860244E-5	-0.011122892	0.0128990644989618
1.703855	-8.0561594E-5	-0.0115087991428571	0.0130047307466201
1.7001437	-7.3861578E-5	-0.010551654	0.0131419114488101
1.6964378	-7.0787361E-5	-0.0101124801428571	0.0132009501373601
1.6927274	-7.4287898E-5	-0.0106125568571429	0.0131704183255342
1.6889851	-7.6692872E-5	-0.0109561245714286	0.0129805988451835
1.6852595	-7.7003559E-5	-0.0110005084285714	0.012842217173719
1.6815579	-7.6295942E-5	-0.0108994202857143	0.0128555444440782
1.6778443	-7.3645116E-5	-0.0105207308571429	0.0129093874316416
1.6741301	-7.2950914E-5	-0.0104215591428571	0.013007854582178
1.6704109	-7.4365002E-5	-0.0106235717142857	0.0130196801554736
1.6667069	-7.0825871E-5	-0.0101179815714286	0.0130028209257129
1.6629613	-7.4471014E-5	-0.0106387162857143	0.012952966870382
1.6592534	-7.161175E-5	-0.01023025	0.012897371282518
1.6555353	-7.3660896E-5	-0.0105229851428571	0.01276609963557
1.6518279	-7.3305344E-5	-0.010472192	0.0127654078779717
1.6481141	-7.4894205E-5	-0.0106991721428571	0.0128006687011043
1.6444145	-6.9957547E-5	-0.00999393528571428	0.0129245419256626
1.6406936	-6.9138882E-5	-0.00987698314285715	0.0130133922826038
1.6369828	-6.84292E-5	-0.0097756	0.013114996484646
1.6332765	-7.0345157E-5	-0.0100493081428571	0.0131169480370039
1.6295627	-6.717551E-5	-0.00959650142857143	0.0130654662302635
1.6258488	-6.8006361E-5	-0.00971519442857143	0.0130055357988384
