H	M	M_over_mass	M_without_diamagnetism
Oe	emu	emu/g	emu/g
x=1.0% at 300K	x=1.0% at 300K	x=1.0% at 300K	x=1.0% at 300K
0.99715677	4.2477466E-5	0.00375906778761062	0.00424079920979852
0.99216857	4.4735577E-5	0.00395890061946903	0.00427242420100978
0.98717611	4.3913592E-5	0.0038861585840708	0.0043243952396585
0.98219429	4.6710824E-5	0.00413370123893805	0.00438495103412857
0.97721968	4.9329019E-5	0.00436539991150443	0.00442158310870849
0.97221018	4.4076968E-5	0.00390061663716814	0.00446212649817888
0.96718407	4.7136727E-5	0.00417139176991151	0.0044178031468486
0.96216486	4.8040876E-5	0.00425140495575221	0.00437799958160828
0.9571976	4.349127E-5	0.00384878495575221	0.00440024033662633
0.95220941	4.6476588E-5	0.00411297238938053	0.00440259352145045
0.94723917	4.7267399E-5	0.00418295566371681	0.0044191571780312
0.94225967	4.7314812E-5	0.00418715150442478	0.00443882389190952
0.9372725	4.7023598E-5	0.0041613803539823	0.00441455501368047
0.93228488	4.483412E-5	0.00396762123893805	0.00435522215993448
0.92730934	4.6200029E-5	0.00408849814159292	0.00435489408139329
0.92233004	4.3805859E-5	0.00387662469026549	0.00438018478792426
0.91735343	4.907121E-5	0.00434258495575221	0.00443576425451254
0.91236719	4.7085536E-5	0.00416686159292036	0.00452811680262343
0.90738811	4.7770935E-5	0.00422751637168142	0.00457089033920891
0.90240804	5.1648081E-5	0.00457062663716814	0.00454994068895746
0.89741866	4.5630958E-5	0.0040381378761062	0.00457583330111458
0.89244411	4.7636325E-5	0.00421560398230089	0.00463892207787232
0.88745421	5.0542757E-5	0.0044728103539823	0.00470329808204004
0.88247723	5.3148306E-5	0.00470338991150443	0.00476311633764428
0.87749851	5.1773435E-5	0.00458171991150442	0.00476384703154883
0.87251756	4.7484083E-5	0.00420213123893805	0.0047156954587377
0.86753918	4.9929174E-5	0.00441851097345133	0.00464747199832288
0.86255495	4.9648174E-5	0.00439364371681416	0.0046319580693623
0.85755996	4.86629E-5	0.00430645132743363	0.00464563788553006
0.85254235	5.0020298E-5	0.00442657504424779	0.00467202912865593
0.84757169	4.8833697E-5	0.00432156610619469	0.00469910081592458
