H	M	M_over_mass	M_without_diamagnetism	M/Ms
Oe	emu	emu/g	emu/g	-
x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum
956.55707	2.6322019E-6	1.84070062937063E-4	3.30256544959296E-4	0.878880172795234
931.35756	2.3732969E-6	1.65964818181818E-4	3.07838489228419E-4	0.884434937220953
906.24094	1.9907041E-6	1.39210076923077E-4	2.76785123337422E-4	0.870144055054753
881.11932	2.9060427E-6	2.03219769230769E-4	3.36495335279756E-4	0.861811668586261
855.98541	1.9744298E-6	1.38072013986014E-4	2.67045996277676E-4	0.8527554442889
830.87267	2.7733458E-6	1.93940265734266E-4	3.18616287442559E-4	0.876047177838681
805.74642	2.4961668E-6	1.74557118881119E-4	2.94932867815201E-4	0.877027576618025
780.62744	2.9210907E-6	2.04272076923077E-4	3.20348797318878E-4	0.905338168050435
755.38917	3.279791E-6	2.29356013986014E-4	3.41113289763171E-4	0.888296463537566
730.13233	3.0307706E-6	2.11942E-4	3.1937665296577E-4	0.881716844765053
705.00713	2.6975768E-6	1.88641734265734E-4	2.91776294161244E-4	0.874746159583124
679.8781	2.6815721E-6	1.87522524475524E-4	2.86356335809218E-4	0.840539983575521
654.77301	3.0967007E-6	2.16552496503497E-4	3.11089656525469E-4	0.788986131500712
629.64192	2.7752166E-6	1.94071090909091E-4	2.84307149807208E-4	0.801705410603871
604.51878	2.0927708E-6	1.46347608391608E-4	2.32283926781504E-4	0.816185207995961
579.38986	3.3640506E-6	2.35248293706294E-4	3.168838823605E-4	0.816475714139106
554.27592	3.3919524E-6	2.37199468531469E-4	3.14536891226362E-4	0.800875412681993
529.15606	3.4529115E-6	2.41462342657343E-4	3.1450058620493E-4	0.830285334624625
504.02989	2.7347286E-6	1.91239762237762E-4	2.59977746702868E-4	0.866030553788249
478.91367	3.1758634E-6	2.2208834965035E-4	2.86527777941847E-4	0.857350427882944
453.78161	4.6053011E-6	3.22049027972028E-4	3.82187189127449E-4	0.805274517805864
428.66815	3.5242023E-6	2.46447713286713E-4	3.02287790633199E-4	0.763983702249638
403.53784	2.5018913E-6	1.74957433566434E-4	2.26496543283428E-4	0.733835660164616
378.41515	2.0529302E-6	1.43561552447552E-4	1.90800998672305E-4	0.702626146522021
353.28658	2.7722582E-6	1.9386420979021E-4	2.36802986180591E-4	0.625301463654093
328.17748	4.1751345E-6	2.91967447552448E-4	3.30608886333159E-4	0.639784954956257
303.04963	1.9428924E-6	1.35866601398601E-4	1.70207493570508E-4	0.631112086272362
277.9188	3.2124114E-6	2.24644153846154E-4	2.54683989392327E-4	0.605463670290059
252.80428	2.1853694E-6	1.52823034965035E-4	1.78564605286855E-4	0.526144297034448
227.67375	2.4809384E-6	1.73492195804196E-4	1.94932760844269E-4	0.554982086214558
202.54626	2.5440667E-6	1.77906762237762E-4	1.95046842281814E-4	0.484170808868462
177.41386	3.0117877E-6	2.10614524475524E-4	2.23453279193648E-4	0.478577676872715
152.28999	1.7937258E-6	1.25435370629371E-4	1.33974259902239E-4	0.450405414791823
127.15625	2.3947921E-6	1.67467979020979E-4	1.71705313631448E-4	0.378740201375495
102.02829	2.1267065E-6	1.48720734265734E-4	1.48657503441271E-4	0.298752272208337
76.899125	1.1041149E-6	7.72108321678322E-5	7.28468296767583E-5	0.300493115769057
51.760897	1.3640906E-6	9.53909510489511E-5	8.67246257894447E-5	0.271578289136272
26.642064	2.186228E-6	1.52883076923077E-4	1.39917748283843E-4	0.254118463776495
1.5159136	2.0220085E-6	1.41399195804196E-4	1.24133611436954E-4	0.215018171082397
-23.613675	2.039882E-6	1.42649090909091E-4	1.2108266237753E-4	0.161742778614195
-48.871932	4.7743405E-7	3.33869965034965E-5	7.49770264578718E-6	0.0719835373269776
-74.131165	3.8389065E-7	2.68455E-5	-3.36682622295956E-6	-0.0206628222574378
