H	M	M_over_mass	M_without_diamagnetism	M/Ms
Oe	emu	emu/g	emu/g	-
x=15%, d =21% - short after synthesis	x=15%, d =21% - short after synthesis	x=15%, d =21% - short after synthesis	x=15%, d =21% - short after synthesis	x=15%, d =21% - short after synthesis
-152.84926	1.3929858E-5	0.0011512279338843	2.23686805551087E-4	0.11540746176632
-203.48119	1.5587139E-5	0.00128819330578512	1.96131618767092E-4	-0.0422913011939685
-254.1292	1.980444E-6	1.6367305785124E-4	-0.00109296143730337	-0.237155616673282
-304.75705	-4.000169E-6	-3.30592479338843E-4	-0.00175173427585469	-0.429522934335342
-355.39796	2.6333442E-6	2.17631752066116E-4	-0.00136805978224381	-0.565085295587726
-406.01983	4.34382E-6	3.58993388429752E-4	-0.0013911860161642	-0.648561571345462
-456.66861	-1.9052168E-6	-1.57455933884298E-4	-0.00207221064860972	-0.673112899568071
-507.41448	9.8902574E-6	8.17376644628099E-4	-0.00126226885903915	-0.640693036587839
-558.43789	5.8914732E-6	4.86898611570248E-4	-0.00175853950397659	-0.599092441470972
-609.06746	4.1196826E-6	3.40469636363636E-4	-0.00206948136941615	-0.575183231986262
-659.70634	1.7567906E-5	0.00145189305785124	-0.00112260108955427	-0.559519722232408
-710.3494	1.9386659E-5	0.0016022032231405	-0.00113684764814872	-0.561201890922265
-760.98063	1.8601151E-5	0.00153728520661157	-0.00136628394882166	-0.573554263523186
-811.60533	1.5546813E-5	0.0012848605785124	-0.00178320564284843	-0.591118040280032
-862.24306	1.8883824E-5	0.00156064661157025	-0.00167195901467068	-0.657611537289538
-912.88165	1.4703677E-5	0.00121517991735537	-0.00218196790820151	-0.741283299133248
-963.5072	2.2320122E-5	0.00184463818181818	-0.00171700947160871	-0.797123645079981
-1014.1485	2.0744817E-5	0.00171444768595041	-0.00201175097251472	-0.809045380689569
-1064.7843	1.6208794E-5	0.00133956975206612	-0.00255116204004517	-0.817332680042575
-1115.4213	2.2706412E-5	0.00187656297520661	-0.00217870584976365	-0.787908271551931
-1166.0483	3.5429972E-5	0.00292809685950413	-0.00129167650488496	-0.759268063879313
-1216.6888	2.2737628E-5	0.00187914280991736	-0.00250517896003476	-0.733792954178296
-1267.3198	3.6261223E-5	0.0029967952892562	-0.00155204401749081	-0.712006267701054
-1317.9624	3.8426102E-5	0.00317571090909091	-0.00153768362684155	-0.709178322277813
-1368.5868	3.5137134E-5	0.00290389537190083	-0.00197399525515603	-0.764472678095798
-1419.2331	3.4012048E-5	0.00281091305785124	-0.00223154482096393	-0.824842676916144
-1469.8589	3.7144695E-5	0.00306980950413223	-0.00213714901488895	-0.881703301622934
-1520.4889	3.5360582E-5	0.00292236214876033	-0.00244911065771172	-0.942796898255608
-1571.6137	3.5002408E-5	0.00289276099173554	-0.00264483387760573	-0.979449960112533
-1622.279	3.8074776E-5	0.00314667570247934	-0.00255554815615651	-0.959681874626502
-1672.898	4.3564264E-5	0.00360035239669422	-0.00226635000660835	-0.945039344885897
-1723.5348	4.3382739E-5	0.00358535033057851	-0.00244588845571423	-0.954146570205333
-1774.166	4.6468761E-5	0.00384039347107438	-0.00235536350188205	-0.959934009473589
-1824.8027	5.5402238E-5	0.0045786973553719	-0.0017815956756403	-0.961465479832675
-1875.4369	4.2111238E-5	0.00348026760330579	-0.00304455336240215	-0.982978670423753
