Voltage	Current
V	nA
x=7.6%	x=7.6%
-8.3153741434216E-4	-0.05469598
0.207321375608444	0.84006974
0.415150463581085	1.01327824
0.62323272228241	1.26709676
0.831411957740784	1.62469793
1.03887784481049	2.03585349
1.24704241752625	2.55351718
1.45584785938263	2.63327027
1.66442394256592	3.00896019
1.87331867218018	3.18942206
2.08218264579773	3.4925618
2.29040718078613	3.69343534
2.49931955337524	3.83535381
2.70790982246399	4.23739133
2.91572403907776	4.27356639
3.12387156486511	4.75893236
3.33196377754211	5.01068786
3.53945064544678	5.32646949
3.74758076667786	5.89718319
3.95572543144226	6.02873262
4.16430330276489	6.90837521
4.37321662902832	7.20129201
4.58208990097046	8.1551903
4.79034757614136	8.88638052
4.9992299079895	9.52590362
4.99923610687256	7.14143722
4.79494953155518	4.81505413
4.59067916870117	3.86271415
4.38603496551514	3.25048588
4.18108367919922	2.68083045
3.97677397727966	2.17314389
3.77317714691162	1.81171322
3.56960296630859	1.46317891
3.36573815345764	1.12708942
3.16222739219666	0.86385016
2.95800590515137	0.64509648
2.75445795059204	0.45909038
2.55063843727112	0.36644077
2.34604215621948	0.0844094
2.14172863960266	-0.08255816
1.93747663497925	-0.25804478
1.73251640796661	-0.41176543
1.52822589874268	-0.57455546
1.32360148429871	-0.79372492
1.11983573436737	-0.96810204
0.916294276714325	-1.26632493
0.712387979030609	-1.45561529
0.508566558361053	-1.68511427
0.304658085107803	-1.99779637
0.101099863648415	-2.13972551
-0.102092280983925	-2.45255616
-0.30568927526474	-2.61478994
-0.509262323379516	-2.86494561
-0.713456332683563	-3.08109427
-0.91701877117157	-3.26443472
-1.12091863155365	-3.53509799
-1.32473301887512	-3.62921115
-1.52900993824005	-3.96532318
-1.73333978652954	-4.05697032
-1.93826878070831	-4.25568425
-2.14289689064026	-4.53420679
-2.34719371795654	-4.84512075
-2.55148506164551	-5.60112801
-2.75528764724731	-6.67632261
-2.95916795730591	-8.21089863
-3.16339588165283	-10.13435824
-3.3669216632843	-12.26216639
-3.57048368453979	-14.76092581
-3.77436780929565	-17.43578792
-3.97800660133362	-20.67037741
-4.18233633041382	-26.92894796
-4.38729381561279	-32.09430233
-4.59162330627441	-36.82618654
-4.79621601104736	-42.175472
-5.00053024291992	-47.88380181
-5.00051832199097	-46.33463746
-4.79620170593262	-39.63467776
-4.59161949157715	-34.30417905
-4.38730525970459	-29.49830247
-4.18234014511108	-24.94206797
-3.97800374031067	-21.01010743
-3.77435970306396	-17.42885125
-3.57047843933105	-14.43943098
-3.36691355705261	-9.39854861
-3.16340780258179	-7.36526262
-2.95916748046875	-5.76921266
-2.75530409812927	-4.14005408
-2.55146241188049	-3.07776649
-2.34719109535217	-1.98741335
-2.14289021492004	-1.18041832
-1.93829202651978	-0.72505035
-1.73332738876343	-0.14004588
-1.5290402173996	-0.0145905
-1.32472109794617	0.31928377
-1.12091434001923	0.46407797
-0.917027473449707	0.62942696
-0.713444411754608	0.82787616
-0.509261429309845	0.85780266
-0.305691659450531	1.0858765
-0.102127440273762	1.09484288
0.101115949451923	1.43244538
0.304661691188812	1.73790304
0.508554816246033	2.25752905
0.712405383586884	2.69584333
0.916293442249298	2.90341085
1.11983859539032	3.44147444
1.32360470294952	3.26227512
1.52822887897491	3.77817289
1.73253571987152	3.74572862
1.93746864795685	3.94236288
2.14172410964966	4.37084946
2.34603595733643	4.28852687
2.55061960220337	4.79077267
2.75447034835815	4.68557548
2.95800876617432	5.28696908
3.16221523284912	5.49907231
3.3657283782959	5.63434543
3.56961941719055	6.29494101
3.77317929267883	6.26289687
3.97675848007202	7.17856841
4.18110322952271	7.28019467
4.38605165481567	8.16900858
4.59068632125854	8.8387182
4.79495906829834	9.39502431
4.99924898147583	10.60889421
4.99924230575562	7.66993313
4.79033088684082	5.13547826
4.5821270942688	4.25356506
4.37323331832886	3.51941964
4.16430521011353	2.90154878
3.95573997497559	2.31380493
3.74759817123413	2.01313499
3.53947353363037	1.50313162
3.33198571205139	1.30120525
3.12388157844543	0.98425945
2.91573548316956	0.66625616
2.70793390274048	0.64267863
2.49932503700256	0.31701705
2.29041194915771	0.1865311
2.08219242095947	-0.03197292
1.87332165241241	-0.14664636
1.6644299030304	-0.32490388
1.4558572769165	-0.62433425
1.24704217910767	-0.6927553
1.03888773918152	-1.03289677
0.831408023834229	-1.10509568
0.623242437839508	-1.43626777
0.415138453245163	-1.73524506
0.207309022545815	-1.88921589
-8.234791457653E-4	-2.26291341
