DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
May 2023	May 2023	May 2023
-0.9	494.272	40.5601
-0.92	499.46	40.7297
-0.94	505.576	40.8724
-0.96	519.306	40.4891
-0.98	522.551	40.4202
-1	527.473	41.282
-1.02	532.751	41.3075
-1.04	537.155	41.242
-1.06	548.388	40.6489
-1.08	559.497	40.8913
-1.1	564.151	40.9789
-1.12	567.146	41.4485
-1.14	571.854	42.0138
-1.16	562.475	40.7399
-1.18	579.806	41.0714
-1.2	585.78	41.237
-1.22	588.169	41.3754
-1.24	604.128	41.6817
-1.26	605.483	41.2562
-1.28	617.857	41.3229
-1.3	620.978	41.1755
-1.32	630.981	41.2497
-1.34	640.824	41.8158
-1.36	649.614	41.7334
-1.38	646.708	41.7029
-1.4	657.495	41.6349
-1.42	665.555	41.8844
-1.44	669.496	41.7482
-1.46	685.74	42.0911
-1.48	686.435	42.1446
-1.5	692.034	41.7162
-1.52	698.382	41.9532
-1.54	713.342	42.0035
-1.56	712.129	42.181
-1.58	728.73	42.0615
-1.6	730.388	42.0706
-1.62	740.605	41.9413
-1.64	749.77	42.4346
-1.66	764.088	42.5398
-1.68	764.516	42.7256
-1.7	771.417	42.5451
-1.72	767.244	42.2238
-1.74	771.649	42.3601
-1.76	787.411	42.3157
-1.78	785.789	42.0329
-1.8	797.343	42.3105
-1.82	796.113	41.8357
-1.84	806.401	42.0964
-1.86	807.328	42.1007
-1.88	815.727	42.1971
-1.9	824.963	42.5424
-1.92	825.73	42.1678
-1.94	835.305	42.0854
-1.96	835.893	42.0214
-1.98	841.938	42.1808
-2	851.62	42.1793
-2	856.238	42.4278
-1.98	847.127	42.373
-1.96	834.306	42.1411
-1.94	829.652	42.3561
-1.92	830.134	42.4716
-1.9	812.107	42.0266
-1.88	819.952	42.3018
-1.86	812.089	42.5755
-1.84	803.833	42.5884
-1.82	798.431	42.5421
-1.8	791.173	42.6587
-1.78	777.729	42.322
-1.76	773.378	42.1144
-1.74	779.744	42.1225
-1.72	763.108	41.83
-1.7	759.274	41.8784
-1.68	749.235	42.4292
