DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
Nov. 2022	Nov. 2022	Nov. 2022
0.0320001	204.536	12.4345
0.016	214.29	13.8378
0	221.698	12.8359
-0.016	223.73	13.2672
-0.0319999	233.206	13.0858
-0.048	244.069	13.3323
-0.064	233.798	13.5208
-0.08	238.157	13.6507
-0.096	248.003	12.5562
-0.112	257.831	11.9862
-0.128	264.371	12.144
-0.144	261.544	14.0852
-0.16	277.986	13.2869
-0.176	283.564	13.0727
-0.192	289.79	12.4266
-0.208	286.225	13.6231
-0.224	306.545	12.7348
-0.24	297.623	13.2052
-0.256	295.683	12.3111
-0.272	293.799	13.6838
-0.288	303.885	13.1152
-0.304	310.979	12.5567
-0.32	317.167	12.613
-0.336	327.956	12.4521
-0.352	348.646	12.2554
-0.368	357.513	12.8769
-0.384	363.11	12.8678
-0.4	366.602	11.9605
-0.416	369.705	12.243
-0.432	380.272	12.03
-0.448	388.123	12.7737
-0.464	393.72	12.3687
-0.48	407.908	12.6352
-0.496	408.628	12.3468
-0.512	433.881	12.4866
-0.528	440.957	12.5651
-0.544	447.145	12.2365
-0.56	453.13	12.3165
-0.576	479.898	11.9122
-0.592	483.778	12.0083
-0.608	506.925	12.2026
-0.624	532.418	11.9871
-0.64	538.329	11.862
-0.656	566.889	12.3389
-0.672	615.898	11.4436
-0.688	601.6	11.4699
-0.704	641.465	11.7751
-0.72	682.531	11.8676
-0.736	697.347	11.7195
-0.752	723.173	11.1087
-0.768	743.659	11.257
-0.784	805.711	11.4364
-0.8	843.803	11.2209
-0.816	892.997	11.8239
-0.832	998.073	11.6375
-0.848	1037.59	11.7536
-0.864	1095.04	12.4417
-0.88	1260.76	13.3684
-0.896	1359.83	13.5697
-0.912	1356.73	13.3191
-0.928	1478.67	13.4609
-0.944	1413.78	13.1121
-0.96	1571.87	13.7059
-0.976	1678.74	14.6456
-0.992	1832.6	15.6674
-1.008	1907.09	15.6031
-1.024	2222.3	17.3643
-1.04	2501.28	19.9409
-1.056	1965.17	15.5148
-1.072	2312.04	17.7146
-1.088	2309.03	17.1426
-1.104	2282.89	16.924
-1.12	2122.13	15.9666
-1.136	1975.57	14.3747
-1.152	2203.77	15.8915
-1.168	2157.34	15.2932
-1.184	2469.65	17.0957
-1.2	2438.51	17.1212
-1.216	2471.67	17.5484
-1.232	2266.8	16.2929
-1.248	2476.45	17.1129
-1.264	2641.56	21.3891
-1.28	2420.81	17.8669
-1.296	2297.68	17.7648
-1.312	2455.1	18.8537
-1.328	2568.28	20.1471
-1.344	2589.56	22.3722
-1.36	2440.04	19.9423
-1.376	2487.15	19.2393
-1.392	2559.62	23.4764
-1.408	2475.86	21.247
-1.424	2176.83	17.3615
-1.44	2416.73	21.6109
-1.456	2342.78	25.1771
-1.472	2307.55	21.4607
-1.488	1846.12	28.376
-1.504	1815.7	39.7045
-1.52	1819.76	31.7808
-1.536	2078.92	44.0179
-1.552	2072.48	44.3384
-1.568	2350	40.8427
-1.584	2175.39	33.9515
-1.6	2529.23	43.052
-1.616	2218.34	39.8031
-1.632	2100.87	35.2994
-1.648	2346.38	39.9399
-1.664	2030.78	36.5311
-1.68	2146.04	33.5698
-1.696	2383.97	48.4418
-1.712	2439.47	43.7485
-1.728	2327	48.5332
-1.744	2237.07	51.0727
-1.76	2426.94	52.4826
-1.776	2284.22	50.0982
-1.792	2347.8	53.1712
-1.808	2170.31	48.2221
-1.824	2193.7	44.7305
-1.84	2441.87	57.2038
-1.856	2559.43	50.2502
-1.872	2337.86	60.6579
-1.888	2487.5	54.7535
-1.904	2529.36	61.9598
-1.92	2419.37	52.0548
-1.936	2080.51	70.6953
-1.952	2087.11	79.9167
-1.968	1914.57	75.0076
-1.984	1945.66	81.2883
-2	2119.84	80.9413
-1.984	1873.08	80.2543
-1.968	2157.79	70.92
-1.952	2197.26	73.302
-1.936	2237.06	61.777
-1.92	2098.36	67.4109
-1.904	2342.91	62.128
-1.888	2164.92	60.8825
-1.872	2226.75	60.5658
-1.856	2182.28	63.5104
-1.84	2188.54	63.2851
-1.824	2113.67	53.8259
-1.808	2140.05	61.2653
-1.792	2288.54	63.0792
-1.776	2134.47	58.2882
-1.76	2071.22	51.5445
-1.744	2023.38	51.1963
-1.728	2108.83	52.6962
-1.712	2424.1	57.4748
-1.696	2168.15	43.7588
-1.68	2056.29	43.9911
-1.664	2260.59	48.3515
-1.648	2029.88	40.7629
-1.632	2092.24	48.5473
-1.616	2233.92	51.2341
-1.6	2334.08	56.0221
-1.584	2064.48	38.521
-1.568	2079.5	49.2478
-1.552	2093.41	49.427
-1.536	2294.36	51.9226
-1.52	2360.16	49.5188
-1.504	2302.1	49.8526
-1.488	2096.66	43.5011
-1.472	1936.83	39.1518
-1.456	2100.8	46.5501
-1.44	2226.62	55.3197
-1.424	2011.87	45.1387
-1.408	1824.94	33.8786
-1.392	2032.15	35.734
-1.376	2112.32	35.5368
-1.36	2160.5	25.2516
-1.344	2180.55	32.7208
-1.328	2116.91	25.5492
-1.312	2196.91	28.4053
-1.296	2177.76	31.5142
-1.28	2188.42	25.6002
-1.264	2124.35	25.2794
-1.248	2138.08	25.0586
-1.232	2009.17	26.875
-1.216	2126.81	23.8496
